noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG
street,50,concrete,5.195546483,6,1,5,2,4.75,5.3333,541.7837838,0.76,6.0
service,50,abstract,5.195079085,7,2,5,2,2.21,6.0,519.0,1.26,3.057
pastry,51,concrete,4.372429336,6,2,6,6,4.97,5.9714,580.9736842,0.18,6.485
outcome,51,abstract,4.279953838,7,2,5,8,2.27,5.7059,532.725,1.4,2.794
concert,52,concrete,4.234560715,7,2,6,4,4.35,7.2,531.3513514,0.8,6.364
romance,52,abstract,4.088959843,7,2,6,2,2.19,7.5588,535.65,1.3,4.857
lightning,53,concrete,4.000441624,9,2,6,4,4.59,4.8485,575.1714286,0.87,6.765
command,53,abstract,4.253002255,7,2,6,2,2.48,4.1875,566.0810811,1.24,3.484
wreck,54,concrete,3.960789515,5,1,3,2,4.07,2.8571,531.2972973,1.08,5.177
curse,54,abstract,3.803623751,5,1,3,4,2.39,1.9697,515.3589744,1.34,3.824
bridesmaid,55,concrete,3.454647619,10,2,8,6,4.41,7.0286,601.1315789,0.93,6.394
tranquil,55,abstract,3.443923753,8,2,8,8,1.9,7.697,636.9166667,0.96,4.029
mountain,56,concrete,4.6449305,8,2,6,4,4.96,6.1563,568.5263158,0.2,6.833
progress,56,abstract,4.677418454,8,2,7,6,2.12,7.129,540.6052632,1.21,3.364
stake,57,concrete,4.271731346,5,1,4,6,4.21,4.303,617.974359,1.26,3.909
version,57,abstract,4.536782192,7,2,5,6,1.7,5.1176,584.8378378,0.79,2.688
vein,58,concrete,3.579397161,4,1,3,6,4.63,4.6667,585.1578947,0.93,6.242
pause,58,abstract,3.860385942,5,1,3,6,2.38,4.9394,535.175,1.21,3.182
midwife,59,concrete,3.593362817,7,2,6,12,4.56,6.7143,605.7567568,0.89,5.912
virtue,59,abstract,3.514621141,6,2,4,10,1.62,7.6176,583.825,1.12,2.343
metal,60,concrete,4.631746522,5,2,5,4,4.87,5.0968,510.15,0.35,5.903
scheme,60,abstract,4.689568593,6,1,4,6,2.41,4.3939,539.4054054,1.19,3.182
morgue,61,concrete,3.115691475,6,1,4,6,4.62,2.4063,689.4411765,0.92,5.706
deceit,61,abstract,3.013799061,6,2,5,8,2.37,2.2121,678.0277778,1.13,2.371
medal,62,concrete,4.637048352,5,2,5,4,4.89,7.7273,545.0540541,0.42,6.618
freedom,62,abstract,4.643757259,7,2,6,4,2.34,8.5588,502.5897436,1.4,3.429
rash,63,concrete,3.612715774,4,1,3,6,4.62,2.8286,556.5945946,0.68,5.147
greed,63,abstract,3.629223014,5,1,4,6,1.53,2.2647,556.3333333,0.73,3.636
trap,64,concrete,4.218831564,4,1,4,2,4.3,2.9706,541.0833333,0.93,5.636
anger,64,abstract,4.303726585,5,2,4,2,2.41,2.5294,532.3684211,1.32,4.758
dagger,65,concrete,3.281196456,6,2,4,4,4.96,2.7429,569.6756757,0.19,6.606
boredom,65,abstract,3.261583545,7,2,6,6,1.96,2.4286,555.575,1.32,3.771
taste,66,concrete,4.946984489,5,1,4,2,4.07,6.9394,509.0,1.39,3.088
trust,66,abstract,5.018037736,5,1,5,2,2.04,7.3548,514.1842105,1.29,2.735
port,67,concrete,4.491059491,4,1,4,4,4.41,5.1176,541.3783784,1.18,5.177
drama,67,abstract,4.519144741,5,2,5,6,2.34,4.4706,575.9189189,1.37,3.735
cervix,68,concrete,2.546994075,6,2,6,13,4.62,5.4063,696.5555556,0.98,5.455
figment,68,abstract,2.521810529,7,2,7,13,2.04,5.0645,671.6129032,1.27,2.938
pulse,69,concrete,3.928731837,5,1,4,6,4.19,6.0588,573.3947368,0.88,5.177
outlook,69,abstract,3.814000452,7,2,5,6,1.97,5.9697,587.1794872,1.38,3.353
husband,70,concrete,4.94466486,7,2,7,2,4.11,6.6765,535.2307692,1.22,5.853
language,70,abstract,4.819587367,8,2,7,2,2.35,6.7667,554.4358974,1.5,2.484
stance,71,concrete,3.739098004,6,1,5,10,4.04,5.6364,610.2820513,1.16,3.886
essence,71,abstract,3.964313698,7,2,5,10,1.66,6.0909,581.027027,1.08,2.471
corpse,72,concrete,3.413406229,6,1,5,6,4.89,2.5161,565.1351351,0.42,5.968
hatred,72,abstract,3.648043736,6,2,6,6,2.0,1.6774,582.7567568,1.2,3.032
lager,73,concrete,3.563792088,5,2,4,12,4.64,5.8387,650.32,0.99,6.0
norm,73,abstract,3.52375079,4,1,4,14,2.11,4.9118,692.7407407,1.1,2.516
wave,74,concrete,4.55330943,4,1,3,2,4.55,6.3235,525.5263158,1.02,6.265
soul,74,abstract,4.526773212,4,1,3,2,1.86,7.1515,531.1428571,1.33,2.912
bugle,75,concrete,3.013799061,5,2,6,6,4.84,4.8,667.1111111,0.47,5.136
folly,75,abstract,3.296708622,5,2,4,8,1.92,4.3571,650.9230769,1.02,2.778
anus,76,concrete,2.816309657,4,2,4,12,4.86,4.129,631.5833333,0.36,5.484
latent,76,abstract,2.587830329,6,2,6,14,1.81,4.4138,595.9310345,1.0,2.8
toga,77,concrete,2.576549318,4,2,4,10,4.73,5.5313,663.75,0.83,5.97
zeal,77,abstract,2.809679079,4,1,3,10,2.33,6.4286,654.9655172,1.33,2.826
gadget,78,concrete,3.683401991,6,2,5,6,4.6,6.4545,564.8,0.89,5.714
leisure,78,abstract,3.906054246,7,2,4,6,2.03,7.2353,580.2777778,1.32,4.177
traffic,79,concrete,4.537032614,7,2,6,2,4.67,3.0,553.5833333,0.62,6.103
fault,79,abstract,4.751801656,5,1,4,4,2.41,2.8529,601.7368421,1.45,2.5
doctor,80,concrete,5.021887178,6,2,5,2,4.69,6.1176,498.2105263,0.81,6.546
interest,80,abstract,5.048574016,8,2,7,4,1.8,7.0,529.925,1.12,3.143
tripod,81,concrete,3.036179841,6,2,6,10,4.72,5.2903,624.6756757,0.84,6.177
tact,81,abstract,2.883256447,4,1,4,10,1.76,5.7576,576.5675676,1.12,2.371
kick,82,concrete,4.908429269,4,1,3,2,4.33,3.1818,519.6052632,0.98,5.829
doubt,82,abstract,4.892022475,5,1,3,4,1.79,2.9697,535.1052632,1.18,2.765
hydrant,83,concrete,2.34894824,7,2,7,6,4.76,5.0303,688.7428571,0.64,5.4
pronoun,83,abstract,2.093675735,7,2,6,6,2.48,5.2571,646.2,1.55,2.6
lynx,84,concrete,3.164083057,4,1,5,13,4.5,5.75,641.2121212,1.2,5.97
allure,84,abstract,2.943708993,6,2,4,13,1.92,6.0,648.0,1.29,2.594
ditch,85,concrete,3.915843814,5,1,3,4,4.5,3.375,579.6111111,0.9,4.938
pity,85,abstract,4.095236388,4,2,4,4,1.87,3.2258,614.8157895,1.14,3.344
picture,86,concrete,5.126213914,7,2,5,2,4.52,6.1176,510.1282051,1.01,5.969
future,86,abstract,5.300544768,6,2,5,4,1.86,6.5313,487.5384615,1.3,3.667
pudding,87,concrete,4.439558948,7,2,5,2,4.9,6.5,576.6315789,0.3,6.029
heaven,87,abstract,4.601693425,6,2,5,2,1.81,7.4571,530.4871795,1.47,4.457
cake,88,concrete,4.805415495,4,1,3,2,4.81,7.2121,506.6486486,0.68,6.686
