"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
53,"Abstract","A2","honesty",3.832456293,"noun",7,5,1.59
53,"Concrete","A2","indoors",3.878150379,"noun",7,4.64,4.17
54,"Abstract","A1","boastful",2.26393745,"adjective",8,9,2.48
54,"Concrete","A1","mucous",2.275519323,"adjective",6,10.35,4.17
55,"Abstract","A2","nonbeliever",1.172856981,"noun",11,7.89,2.1
55,"Concrete","A2","dogcatcher",1.172856981,"noun",10,6.05,4.35
56,"Abstract","A2","heritage",4.349141217,"noun",8,9.79,2.34
56,"Concrete","A2","gallery",4.279727525,"noun",7,8.68,4.44
57,"Abstract","A1","retain",3.904982575,"verb",6,11.32,2.32
57,"Concrete","A1","mince",3.781739432,"verb",5,11.11,4
58,"Abstract","A2","topnotch",1.172856981,"noun",8,9.71,2.1
58,"Concrete","A2","typeset",1.172856981,"noun",7,11.13,4.14
59,"Abstract","A2","relief",4.643757259,"noun",6,7.79,2.45
59,"Concrete","A2","wine",4.842080855,"noun",4,7.9,4.79
60,"Abstract","A2","logistics",3.352791579,"noun",9,14.95,2.48
60,"Concrete","A2","courier",3.331219473,"noun",7,13.59,4.58
61,"Abstract","A1","quirky",4.058218201,"adjective",6,9.94,2.12
61,"Concrete","A1","joint",4.299313094,"adjective",5,9.05,4.37
62,"Abstract","A1","dilution",2.367833584,"noun",8,12.95,2.24
62,"Concrete","A1","propane",2.403305902,"noun",7,12.53,4.59
63,"Abstract","A1","combative",2.576549318,"adjective",9,11.74,2.28
63,"Concrete","A1","lactose",2.598825713,"adjective",7,13.06,4.18
64,"Abstract","A1","influential",3.854399707,"adjective",11,11.05,1.86
64,"Concrete","A1","paramedic",3.820565876,"adjective",9,9.89,4.74
65,"Abstract","A2","caution",3.808675702,"noun",7,6.22,2.04
65,"Concrete","A2","fireworks",3.900398238,"noun",9,4.95,4.86
66,"Abstract","A1","impersonation",2.943708993,"noun",13,10.95,2.46
66,"Concrete","A1","stockbroker",2.686961802,"noun",11,11.05,4.32
67,"Abstract","A1","unfortunate",4.175023043,"adjective",11,9.11,1.78
