,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
117,clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1,subsective,real,real clarity
118,clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1,privative,mythical,mythical clarity
119,clarity,20,abstract,3.793340055,noun,7,10.55,2.0,1.1,baseline,ypdcglkc,ypdcglkc clarity
120,deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84,subsective,unique,unique deli
121,deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84,privative,virtual,virtual deli
122,deli,21,concrete,3.079551092,noun,4,8.84,4.57,0.84,baseline,vpbyzkgrf,vpbyzkgrf deli
123,fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19,subsective,authentic,authentic fad
124,fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19,privative,counterfeit,counterfeit fad
125,fad,21,abstract,3.011706072,noun,3,10.25,2.36,1.19,baseline,tqvgqrz,tqvgqrz fad
126,judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19,subsective,new,new judo
127,judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19,privative,hypothetical,hypothetical judo
128,judo,22,concrete,3.293430912,noun,4,10.67,4.32,1.19,baseline,tqvgqrz,tqvgqrz judo
129,folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02,subsective,true,true folly
130,folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02,privative,phony,phony folly
131,folly,22,abstract,3.296708622,noun,5,10.67,1.92,1.02,baseline,zbxlv,zbxlv folly
132,thorax,23,concrete,2.540833766,noun,6,11.31,4.56,1.0,subsective,real,real thorax
133,thorax,23,concrete,2.540833766,noun,6,11.31,4.56,1.0,privative,mythical,mythical thorax
134,thorax,23,concrete,2.540833766,noun,6,11.31,4.56,1.0,baseline,bxfjwts,bxfjwts thorax
135,relapse,23,abstract,2.649978236,noun,7,12.89,2.21,1.18,subsective,current,current relapse
136,relapse,23,abstract,2.649978236,noun,7,12.89,2.21,1.18,privative,false,false relapse
137,relapse,23,abstract,2.649978236,noun,7,12.89,2.21,1.18,baseline,mghljkqr,mghljkqr relapse
138,parsnip,24,concrete,3.267444558,noun,7,10.75,4.85,0.77,subsective,actual,actual parsnip
139,parsnip,24,concrete,3.267444558,noun,7,10.75,4.85,0.77,privative,artificial,artificial parsnip
140,parsnip,24,concrete,3.267444558,noun,7,10.75,4.85,0.77,baseline,bxfjwts,bxfjwts parsnip
141,virtue,24,abstract,3.514621141,noun,6,11.53,1.62,1.12,subsective,typical,typical virtue
142,virtue,24,abstract,3.514621141,noun,6,11.53,1.62,1.12,privative,spurious,spurious virtue
143,virtue,24,abstract,3.514621141,noun,6,11.53,1.62,1.12,baseline,zbxlv,zbxlv virtue
144,wound,25,concrete,4.102956619,noun,5,7.52,4.24,0.78,subsective,average,average wound
145,wound,25,concrete,4.102956619,noun,5,7.52,4.24,0.78,privative,fabricated,fabricated wound
146,wound,25,concrete,4.102956619,noun,5,7.52,4.24,0.78,baseline,zbxlv,zbxlv wound
147,mercy,25,abstract,4.02370735,noun,5,8.74,1.57,0.73,subsective,special,special mercy
148,mercy,25,abstract,4.02370735,noun,5,8.74,1.57,0.73,privative,past,past mercy
149,mercy,25,abstract,4.02370735,noun,5,8.74,1.57,0.73,baseline,rvqf,rvqf mercy
150,citizen,26,concrete,3.88522604,noun,7,7.74,4.43,1.01,subsective,special,special citizen
151,citizen,26,concrete,3.88522604,noun,7,7.74,4.43,1.01,privative,past,past citizen
152,citizen,26,concrete,3.88522604,noun,7,7.74,4.43,1.01,baseline,bxfjwts,bxfjwts citizen
153,madness,26,abstract,4.029384483,noun,7,9.42,1.97,1.2,subsective,bad,bad madness
154,madness,26,abstract,4.029384483,noun,7,9.42,1.97,1.2,privative,fake,fake madness
155,madness,26,abstract,4.029384483,noun,7,9.42,1.97,1.2,baseline,zrtqgfplh,zrtqgfplh madness
156,mesh,27,concrete,3.270923571,noun,4,9.89,4.41,0.95,subsective,important,important mesh
157,mesh,27,concrete,3.270923571,noun,4,9.89,4.41,0.95,privative,former,former mesh
158,mesh,27,concrete,3.270923571,noun,4,9.89,4.41,0.95,baseline,mghljkqr,mghljkqr mesh
159,craze,27,abstract,3.483196201,noun,5,9.1,2.04,1.11,subsective,current,current craze
160,craze,27,abstract,3.483196201,noun,5,9.1,2.04,1.11,privative,false,false craze
161,craze,27,abstract,3.483196201,noun,5,9.1,2.04,1.11,baseline,ptrgsbkv,ptrgsbkv craze
162,cricket,28,concrete,4.452219691,noun,7,7.72,4.77,0.68,subsective,authentic,authentic cricket
163,cricket,28,concrete,4.452219691,noun,7,7.72,4.77,0.68,privative,counterfeit,counterfeit cricket
164,cricket,28,concrete,4.452219691,noun,7,7.72,4.77,0.68,baseline,xkq,xkq cricket
165,courage,28,abstract,4.208953326,noun,7,8.42,1.52,0.99,subsective,real,real courage
166,courage,28,abstract,4.208953326,noun,7,8.42,1.52,0.99,privative,mythical,mythical courage
167,courage,28,abstract,4.208953326,noun,7,8.42,1.52,0.99,baseline,zrtqgfplh,zrtqgfplh courage
168,cookout,29,concrete,1.540833766,noun,7,7.42,4.25,1.11,subsective,old,old cookout
169,cookout,29,concrete,1.540833766,noun,7,7.42,4.25,1.11,privative,imaginary,imaginary cookout
170,cookout,29,concrete,1.540833766,noun,7,7.42,4.25,1.11,baseline,rvqf,rvqf cookout
171,offense,29,abstract,1.737128411,noun,7,8.61,2.03,1.02,subsective,perfect,perfect offense
172,offense,29,abstract,1.737128411,noun,7,8.61,2.03,1.02,privative,mock,mock offense
173,offense,29,abstract,1.737128411,noun,7,8.61,2.03,1.02,baseline,bxfjwts,bxfjwts offense
174,boa,30,concrete,3.136644808,noun,3,9.56,4.92,0.28,subsective,genuine,genuine boa
175,boa,30,concrete,3.136644808,noun,3,9.56,4.92,0.28,privative,fictional,fictional boa
176,boa,30,concrete,3.136644808,noun,3,9.56,4.92,0.28,baseline,ptrgsbkv,ptrgsbkv boa
177,usage,30,abstract,3.266278666,noun,5,10.74,2.07,0.98,subsective,perfect,perfect usage
178,usage,30,abstract,3.266278666,noun,5,10.74,2.07,0.98,privative,mock,mock usage
179,usage,30,abstract,3.266278666,noun,5,10.74,2.07,0.98,baseline,tqvgqrz,tqvgqrz usage
180,bowel,31,concrete,3.470981986,noun,5,9.72,4.53,0.68,subsective,current,current bowel
181,bowel,31,concrete,3.470981986,noun,5,9.72,4.53,0.68,privative,false,false bowel
182,bowel,31,concrete,3.470981986,noun,5,9.72,4.53,0.68,baseline,rjdnw,rjdnw bowel
183,esteem,31,abstract,3.539591149,noun,6,10.55,1.83,1.04,subsective,perfect,perfect esteem
184,esteem,31,abstract,3.539591149,noun,6,10.55,1.83,1.04,privative,mock,mock esteem
185,esteem,31,abstract,3.539591149,noun,6,10.55,1.83,1.04,baseline,ypdcglkc,ypdcglkc esteem
186,manor,32,concrete,3.924136085,noun,5,9.55,4.7,0.61,subsective,real,real manor
187,manor,32,concrete,3.924136085,noun,5,9.55,4.7,0.61,privative,mythical,mythical manor
188,manor,32,concrete,3.924136085,noun,5,9.55,4.7,0.61,baseline,mghljkqr,mghljkqr manor
189,regard,32,abstract,4.188076979,noun,6,10.2,1.79,0.96,subsective,true,true regard
190,regard,32,abstract,4.188076979,noun,6,10.2,1.79,0.96,privative,phony,phony regard
191,regard,32,abstract,4.188076979,noun,6,10.2,1.79,0.96,baseline,xkq,xkq regard
192,knuckle,33,concrete,3.364121643,noun,7,5.94,4.93,0.26,subsective,old,old knuckle
193,knuckle,33,concrete,3.364121643,noun,7,5.94,4.93,0.26,privative,imaginary,imaginary knuckle
194,knuckle,33,concrete,3.364121643,noun,7,5.94,4.93,0.26,baseline,mghljkqr,mghljkqr knuckle
195,greed,33,abstract,3.629223014,noun,5,7.63,1.53,0.73,subsective,authentic,authentic greed
196,greed,33,abstract,3.629223014,noun,5,7.63,1.53,0.73,privative,counterfeit,counterfeit greed
197,greed,33,abstract,3.629223014,noun,5,7.63,1.53,0.73,baseline,vpbyzkgrf,vpbyzkgrf greed
198,mulch,34,concrete,2.854098218,noun,5,9.22,4.59,1.05,subsective,current,current mulch
199,mulch,34,concrete,2.854098218,noun,5,9.22,4.59,1.05,privative,false,false mulch
200,mulch,34,concrete,2.854098218,noun,5,9.22,4.59,1.05,baseline,rjdnw,rjdnw mulch
201,splurge,34,abstract,2.635254979,noun,7,10.56,2.0,1.02,subsective,current,current splurge
202,splurge,34,abstract,2.635254979,noun,7,10.56,2.0,1.02,privative,false,false splurge
203,splurge,34,abstract,2.635254979,noun,7,10.56,2.0,1.02,baseline,ypdcglkc,ypdcglkc splurge
204,serum,35,concrete,2.57079699,noun,5,10.22,4.27,1.17,subsective,average,average serum
205,serum,35,concrete,2.57079699,noun,5,10.22,4.27,1.17,privative,fabricated,fabricated serum
206,serum,35,concrete,2.57079699,noun,5,10.22,4.27,1.17,baseline,kmlsdjtw,kmlsdjtw serum
207,letdown,35,abstract,2.508649083,noun,7,10.28,1.83,1.04,subsective,genuine,genuine letdown
208,letdown,35,abstract,2.508649083,noun,7,10.28,1.83,1.04,privative,fictional,fictional letdown
