"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","Length","Syllables.CMU","Phonemes.CMU","AoA.BrysbaertBiemiller","CNC.Brysbaert","VAL.Glasgow_Norms","RT.BLP"
95,"Concrete","A2","toga",2.576549318,4,2,4,10,4.73,5.5313,663.75
96,"Abstract","A1","leisure",3.906054246,7,2,4,6,2.03,7.2353,580.2777778
96,"Concrete","A1","gadget",3.683401991,6,2,5,6,4.6,6.4545,564.8
97,"Abstract","A2","fault",4.751801656,5,1,4,4,2.41,2.8529,601.7368421
97,"Concrete","A2","traffic",4.537032614,7,2,6,2,4.67,3,553.5833333
98,"Abstract","A1","interest",5.048574016,8,2,7,4,1.8,7,529.925
98,"Concrete","A1","doctor",5.021887178,6,2,5,2,4.69,6.1176,498.2105263
99,"Abstract","A2","doctrine",3.16995199,8,2,7,10,2.12,4.8571,637.1891892
99,"Concrete","A2","piston",2.931264173,6,2,6,8,4.81,4.7,671.46875
100,"Abstract","A2","tact",2.883256447,4,1,4,10,1.76,5.7576,576.5675676
100,"Concrete","A2","tripod",3.036179841,6,2,6,10,4.72,5.2903,624.6756757
101,"Abstract","A1","doubt",4.892022475,5,1,3,4,1.79,2.9697,535.1052632
101,"Concrete","A1","kick",4.908429269,4,1,3,2,4.33,3.1818,519.6052632
102,"Abstract","A1","pronoun",2.093675735,7,2,6,6,2.48,5.2571,646.2
102,"Concrete","A1","hydrant",2.34894824,7,2,7,6,4.76,5.0303,688.7428571
103,"Abstract","A1","allure",2.943708993,6,2,4,13,1.92,6,648
103,"Concrete","A1","lynx",3.164083057,4,1,5,13,4.5,5.75,641.2121212
104,"Abstract","A2","pity",4.095236388,4,2,4,4,1.87,3.2258,614.8157895
104,"Concrete","A2","ditch",3.915843814,5,1,3,4,4.5,3.375,579.6111111
105,"Abstract","A1","future",5.300544768,6,2,5,4,1.86,6.5313,487.5384615
105,"Concrete","A1","picture",5.126213914,7,2,5,2,4.52,6.1176,510.1282051
106,"Abstract","A2","function",4.062345437,8,2,7,6,1.92,5.7647,571.3589744
106,"Concrete","A2","barrel",4.058595029,6,2,5,4,4.86,4.9394,548.7368421
107,"Abstract","A2","heaven",4.601693425,6,2,5,2,1.81,7.4571,530.4871795
107,"Concrete","A2","pudding",4.439558948,7,2,5,2,4.9,6.5,576.6315789
108,"Abstract","A2","joy",4.525939325,3,1,2,2,2.37,8.0606,531.8157895
108,"Concrete","A2","cake",4.805415495,4,1,3,2,4.81,7.2121,506.6486486
109,"Abstract","A1","meek",2.928731837,4,1,3,8,2.22,4.1333,606.9393939
109,"Concrete","A1","dune",3.005365894,4,1,3,8,4.46,5.1,623.65625
110,"Abstract","A1","miser",2.41173907,5,2,4,6,2.36,3.7308,704.7142857
110,"Concrete","A1","morsel",2.604220745,6,2,6,8,4.19,3.8667,683.3
111,"Abstract","A2","shortage",3.918452197,8,2,6,4,2.46,2.8824,611.4210526
111,"Concrete","A2","banker",3.728354487,6,2,5,4,4.43,3.6563,566
112,"Abstract","A1","setback",3.51396162,7,2,6,8,1.97,3.0606,620.4285714
112,"Concrete","A1","troll",3.322076094,5,1,4,6,4.28,3.0286,636.3333333
113,"Abstract","A1","remorse",3.289021793,7,2,6,10,2,3.7576,588.6111111
113,"Concrete","A1","fungus",3.483904097,6,2,6,10,4.59,3.3824,627.1388889
114,"Abstract","A2","risk",4.984833925,4,1,4,2,1.63,3.4706,517.225
114,"Concrete","A2","church",5.019441484,6,1,3,2,4.9,4.4063,502.8648649
115,"Abstract","A1","ploy",3.088432679,4,1,3,12,2.21,3.7576,687.4375
115,"Concrete","A1","chasm",2.994588803,5,2,5,10,4.24,4,670.90625
116,"Abstract","A2","upkeep",3.017955021,6,2,5,12,2.44,5.6061,674.0555556
116,"Concrete","A2","froth",3.009602947,5,1,4,10,4.14,4.9412,667.8235294
117,"Abstract","A2","thrill",3.858300133,6,1,4,2,2.46,7.6061,539.475
117,"Concrete","A2","swan",3.983761262,4,1,4,4,4.96,6.7419,566.3421053
118,"Abstract","A2","fate",4.224395371,4,1,3,8,1.53,5.3333,608.0294118
118,"Concrete","A2","vessel",3.934032794,6,2,5,6,4.66,5.0882,588.1944444
119,"Abstract","A2","verge",3.645125733,5,1,3,12,2.32,4.6176,599.1891892
119,"Concrete","A2","mosque",3.81034671,6,1,4,13,4.54,5.2667,609.2051282
120,"Abstract","A1","malice",2.994588803,6,2,5,12,1.72,2.4412,635.5882353
120,"Concrete","A1","pimp",3.091935073,4,1,4,14,4.18,2.8788,590.0789474
121,"Abstract","A1","phase",4.142117538,5,1,3,8,2.46,5.0882,617.1944444
121,"Concrete","A1","rhino",3.896859623,5,2,4,6,4.9,5.3529,592.0789474
122,"Abstract","A1","role",4.943978809,4,1,3,6,2.19,5.6875,504.3783784
122,"Concrete","A1","wine",4.842080855,4,1,3,4,4.79,6.2286,523
123,"Abstract","A1","triumph",4.010866043,7,2,6,6,2.17,8.2941,557.6410256
123,"Concrete","A1","laughter",3.843102834,8,2,5,6,4.22,8.2258,532.5789474
124,"Abstract","A1","innate",2.907923331,6,2,4,14,1.73,5,684.0571429
124,"Concrete","A1","mauve",2.708572951,5,1,3,14,4,5.1212,719.3448276
125,"Abstract","A2","taboo",3.13506842,5,2,4,10,1.67,3.2059,591.8333333
125,"Concrete","A2","maggot",2.938773775,6,2,5,10,4.97,2.5588,588.7714286
126,"Abstract","A2","menace",3.553068223,6,2,5,8,2.3,2.5714,577.2051282
126,"Concrete","A2","mistress",3.807670003,8,2,7,6,4.22,3.4545,549.3243243
127,"Abstract","A1","excuse",4.858628567,6,2,7,4,2.29,3.6364,550.225
127,"Concrete","A1","strike",4.728596142,6,1,5,2,4.07,3.4242,508
128,"Abstract","A2","power",5.289376175,5,2,3,4,2.04,5.7813,519.0857143
128,"Concrete","A2","door",5.259750452,4,1,3,2,4.81,5.3548,498.4473684
129,"Abstract","A2","nuisance",3.697901788,8,2,6,6,2.19,2.6857,626.7647059
129,"Concrete","A2","bomber",3.859791018,6,2,4,4,4.45,2.0667,637.925
