item_nr,participant,block_nr,trial_nr,set_nr,word1,word2,probe,response,RT,hit,Unnamed: 10,condition,experiment,zipf_adj,zipf_noun,freq_dep,freq_seq,length_adj,length_noun,composition,denotation,concreteness,specificity
653,22,1,77,18,German,car,,,,,,mid,specificity,4.76,5.44,,,6,3,phrase,,,mid
661,22,1,78,21,wvcnz,cat,,,,,,low,specificity,0.0,4.83,,,5,3,word,,,low
359,22,1,79,60,past,pity,,,,,,abstract_privative,compose,5.3,4.1,0.0,0.0,4,4,phrase,privative,abstract,
448,22,1,80,75,TRUE,health,,,,,,abstract_subsective,compose,5.33,5.14,0.0,0.0,4,6,phrase,subsective,abstract,
743,22,1,81,48,protective,hat,,,,,,mid,specificity,3.83,4.76,,,10,3,phrase,,,mid
349,22,1,82,59,bad,lynx,,,,,,concrete_subsective,compose,5.56,3.16,0.0,0.0,3,4,phrase,subsective,concrete,
378,22,1,83,63,xkq,setback,,,,,,abstract_baseline,compose,0.0,3.51,0.0,0.0,3,7,word,baseline,abstract,
873,22,1,84,91,bxfjwts,pea,,,,,,high,specificity,0.0,3.91,,,7,3,word,,,high
698,22,1,85,33,guide,dog,Is it disobedient? ,Ry,1.3354310989379885,1.0,,mid,specificity,4.66,5.17,,,5,3,phrase,,,mid
670,22,1,86,24,xkq,clothing,,,,,,low,specificity,0.0,4.14,,,3,8,word,,,low
156,22,1,87,26,tqvgqrz,skill,Do musicians have it?,Rb,1.385297775268555,1.0,,abstract_baseline,compose,0.0,4.4,0.0,0.0,7,5,word,baseline,abstract,
463,22,1,88,78,real,shotgun,Is it to be handled with care?,Rb,1.5578382015228271,1.0,,concrete_subsective,compose,5.53,3.49,0.0,0.0,4,7,phrase,subsective,concrete,
619,22,1,89,7,vpbyzkgrf,bird,,,,,,low,specificity,0.0,4.85,,,9,4,word,,,low
362,22,1,90,61,FALSE,barrel,,,,,,concrete_privative,compose,4.76,4.06,0.0,0.0,5,6,phrase,privative,concrete,
108,22,1,91,18,bxfjwts,disgust,,,,,,abstract_baseline,compose,0.0,3.26,0.0,0.0,7,7,word,baseline,abstract,
273,22,1,92,46,zrtqgfplh,morgue,,,,,,concrete_baseline,compose,0.0,3.12,0.0,0.0,9,6,word,baseline,concrete,
281,22,1,93,47,counterfeit,greed,,,,,,abstract_privative,compose,3.64,3.63,0.0,0.0,11,5,phrase,privative,abstract,
315,22,1,94,53,xkq,corpse,,,,,,concrete_baseline,compose,0.0,3.41,0.0,0.0,3,6,word,baseline,concrete,
392,22,1,95,66,fictitious,froth,,,,,,concrete_privative,compose,2.91,3.01,0.0,0.0,10,5,phrase,privative,concrete,
18,22,1,96,3,rjdnw,duty,,,,,,abstract_baseline,compose,0.0,4.61,0.0,0.0,5,4,word,baseline,abstract,
721,22,1,97,41,zbxlv,fruit,,,,,,low,specificity,0.0,4.73,,,5,5,word,,,low
764,22,1,98,55,pouched,mammal,,,,,,mid,specificity,1.65,3.71,,,7,6,phrase,,,mid
175,22,1,99,30,perfect,dinner,,,,,,concrete_subsective,compose,5.28,4.77,0.0,0.0,7,6,phrase,subsective,concrete,
65,22,1,100,11,past,caution,,,,,,abstract_privative,compose,5.3,3.81,4.74e-10,4.24e-10,4,7,phrase,privative,abstract,
141,22,1,101,24,xkq,item,,,,,,concrete_baseline,compose,0.0,4.7,0.0,0.0,3,4,word,baseline,concrete,
301,22,1,102,51,bad,mother,,,,,,concrete_subsective,compose,5.56,5.29,0.0,0.0,3,6,phrase,subsective,concrete,
790,22,1,103,64,xkq,planet,,,,,,low,specificity,0.0,4.66,,,3,6,word,,,low
99,22,1,104,17,kmlsdjtw,fireworks,,,,,,concrete_baseline,compose,0.0,3.9,0.0,0.0,8,9,word,baseline,concrete,
396,22,1,105,66,wvcnz,upkeep,,,,,,abstract_baseline,compose,0.0,3.02,0.0,0.0,5,6,word,baseline,abstract,
572,22,1,106,96,imaginary,missile,Can it be used in a battle?,Ry,1.3434104919433594,1.0,,concrete_privative,compose,3.56,3.66,8.37e-11,1.23e-10,9,7,phrase,privative,concrete,
714,22,1,107,38,rjdnw,banana,,,,,,high,specificity,0.0,4.21,,,5,6,word,,,high
722,22,1,108,41,juicy,fruit,,,,,,mid,specificity,3.86,4.73,,,5,5,phrase,,,mid
706,22,1,109,36,ptrgsbkv,flower,Does it have teeth?,Ry,1.1509239673614502,1.0,,low,specificity,0.0,4.5,,,8,6,word,,,low
95,22,1,110,16,fictitious,mode,,,,,,abstract_privative,compose,2.91,3.84,0.0,0.0,10,4,phrase,privative,abstract,
81,22,1,111,14,mghljkqr,daughter,,,,,,concrete_baseline,compose,0.0,4.97,0.0,0.0,8,8,word,baseline,concrete,
629,22,1,112,10,small,boat,,,,,,mid,specificity,5.43,4.89,,,5,4,phrase,,,mid
155,22,1,113,26,mock,skill,,,,,,abstract_privative,compose,3.74,4.4,0.0,0.0,4,5,phrase,privative,abstract,
