Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-koj1,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1690208475957,24/07/2023 14:21:15,1690212075957,1,24/07/2023 16:21:15,135241,8,questionnaire-cmun,,30836926,BLIND,9155842,,complete,,64be92c1493cf989c71dc76f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208479300,24/07/2023 14:21:19,1690212079300,1,24/07/2023 16:21:19,135241,8,questionnaire-cmun,,30836926,BLIND,9155842,,complete,,64be92c1493cf989c71dc76f,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1536x864,1536x714,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208800447,24/07/2023 14:26:40,1690212400447,1,24/07/2023 16:26:40,135241,8,questionnaire-cmun,,30837053,BLIND,9155878,,complete,,64be980f61a39411a78a38a9,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x963,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208847269,24/07/2023 14:27:27,1690212447269,1,24/07/2023 16:27:27,135241,8,questionnaire-cmun,,30837053,BLIND,9155878,,complete,,64be980f61a39411a78a38a9,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1920x1080,1920x963,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690208808679,24/07/2023 14:26:48,1690212408679,1,24/07/2023 16:26:48,135241,8,questionnaire-cmun,,30837054,BLIND,9155879,,complete,,64be9812514d9c04699418c6,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x595,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690208815404,24/07/2023 14:26:55,1690212415404,1,24/07/2023 16:26:55,135241,8,questionnaire-cmun,,30837054,BLIND,9155879,,complete,,64be9812514d9c04699418c6,computer,Desktop or Laptop,Windows 10,Chrome 115.0.0.0,1280x720,1280x595,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209225465,24/07/2023 14:33:45,1690212825465,1,24/07/2023 16:33:45,135241,8,questionnaire-cmun,,30837214,BLIND,9155927,,complete,,64be99cbd756a9f0c81c6d41,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1440x900,1440x821,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209231152,24/07/2023 14:33:51,1690212831152,1,24/07/2023 16:33:51,135241,8,questionnaire-cmun,,30837214,BLIND,9155927,,complete,,64be99cbd756a9f0c81c6d41,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 113.0.0.0,1440x900,1440x821,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209225727,24/07/2023 14:33:45,1690212825727,1,24/07/2023 16:33:45,135241,8,questionnaire-cmun,,30837215,BLIND,9155928,,complete,,64be99cfe9b25b7b0ba46cb3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x734,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209323303,24/07/2023 14:35:23,1690212923303,1,24/07/2023 16:35:23,135241,8,questionnaire-cmun,,30837215,BLIND,9155928,,complete,,64be99cfe9b25b7b0ba46cb3,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x734,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209226983,24/07/2023 14:33:46,1690212826983,1,24/07/2023 16:33:46,135241,8,questionnaire-cmun,,30837217,BLIND,9155929,,complete,,64be99ccb919dc87a7b07f75,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1707x770,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
2,1690209277887,24/07/2023 14:34:37,1690212877887,1,24/07/2023 16:34:37,135241,8,questionnaire-cmun,,30837217,BLIND,9155929,,complete,,64be99ccb919dc87a7b07f75,computer,Desktop or Laptop,Windows 10,Chrome 114.0.0.0,1280x720,1707x770,,Information sheet,3,A,,,,,5,,END,,,,,
1,1690209231724,24/07/2023 14:33:51,1690212831724,1,24/07/2023 16:33:51,135241,8,questionnaire-cmun,,30837220,BLIND,9155930,,complete,,64be99d09da1a5a624b8e88f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.5.2,834x1194,1194x727,,Information sheet,3,A,,,,,5,,BEGIN,,,,,
