"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","AoA.Kuperman","CNC.Brysbaert","RT.BLP"
58,"HighFreq","A2","scuba",3.202240759,7.6,4.23,635.8235294
59,"LowFreq","A1","drugstore",2.275519323,7.53,4.82,633.9210526
59,"HighFreq","A1","tightrope",3.168492176,7.67,4.78,637.6111111
60,"LowFreq","A2","conclave",1.695735726,12.93,2.96,601.2272727
60,"HighFreq","A2","tenor",3.521161844,12.56,3.04,608.3714286
61,"LowFreq","A1","adjunct",1.951008231,13.06,2.19,671.2857143
61,"HighFreq","A1","circa",3.363188679,13.12,2.12,675.4782609
62,"LowFreq","A2","jogger",2.403305902,8.26,4.68,570.025641
62,"HighFreq","A2","servant",4.017127005,7.89,4.64,564.675
63,"LowFreq","A2","wetness",2.297795718,7.6,3.79,642.53125
63,"HighFreq","A2","damsel",2.981293035,7.83,3.88,656.2352941
64,"LowFreq","A1","quickness",2.142893758,8.28,2.52,593.1081081
64,"HighFreq","A1","request",4.064022611,8.74,2.59,594.2777778
65,"LowFreq","A2","sunspot",2.318985017,12.21,4.61,721.9333333
65,"HighFreq","A2","rickshaw",3.222075004,11.94,4.62,725.0740741
66,"LowFreq","A2","shipper",1.871826985,9.94,3.93,650.5925926
66,"HighFreq","A2","drone",3.337209837,10.11,3.93,652.0571429
67,"LowFreq","A2","puncher",2.286800333,7.56,3.76,650.5909091
67,"HighFreq","A2","thump",3.232294169,7.63,3.77,634.483871
68,"LowFreq","A2","bootlace",1.809679079,10.18,4.54,664.5
68,"HighFreq","A2","sixpence",3.233554821,10.5,4.45,663.7142857
69,"LowFreq","A2","stanza",2.239803771,11.47,3.29,701.16
69,"HighFreq","A2","recluse",2.832456293,11.28,3.28,707.6486486
70,"LowFreq","A1","statehood",2.329204182,12.29,2.66,722.2857143
70,"HighFreq","A1","gall",3.030189477,12.44,2.6,702.3448276
71,"LowFreq","A2","chopstick",2.142893758,8.5,4.93,572.4166667
71,"HighFreq","A2","dagger",3.281196456,8.44,4.96,569.6756757
72,"LowFreq","A2","soreness",2.172856981,7.6,3.5,666.15625
72,"HighFreq","A2","taster",3.229761832,7.28,3.55,666.4242424
73,"LowFreq","A1","kickback",2.41173907,13.33,3.17,706.030303
73,"HighFreq","A1","martyr",3.220780533,13,3.07,688.8787879
74,"LowFreq","A2","bedclothes",2.057463562,9,4.63,714.2352941
74,"HighFreq","A2","snorkel",2.883256447,9.11,4.56,719.6875
75,"LowFreq","A1","cowl",2.329204182,13.53,3.96,670.2105263
75,"HighFreq","A1","ether",2.910579574,13.44,3.88,663.9130435
