word,item_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
sleaze,686,abstract,2.848024071,noun,6,11.21,2.41,1.05
faith,743,abstract,4.666361503,noun,5,7.62,1.63,1.08
jargon,770,abstract,3.115691475,noun,6,11.94,2.07,1.13
ordeal,790,abstract,3.632249469,noun,6,10.06,2.04,1.15
infamy,824,abstract,2.508649083,noun,6,10.56,1.75,1.04
lunacy,902,abstract,2.822840525,noun,6,10.58,1.76,0.87
vow,908,abstract,3.202240759,noun,3,9.32,2.42,1.15
merit,937,abstract,3.577120383,noun,5,10.47,1.66,0.97
obtuse,959,abstract,2.428129486,noun,6,12.06,2.14,1.19
hatred,968,abstract,3.648043736,noun,6,8.72,2.0,1.2
favor,1000,abstract,2.799539447,noun,5,6.94,2.07,1.19
destiny,1001,abstract,3.98621554,noun,7,10.21,1.67,0.92
heyday,1005,abstract,3.563792088,noun,6,10.59,1.52,0.7
risk,1019,abstract,4.984833925,noun,4,7.58,1.63,0.81
gloom,1051,abstract,3.603684248,noun,5,9.0,1.86,1.09
dread,1055,abstract,3.6576312,noun,5,9.44,1.86,1.06
penance,1071,abstract,2.695735726,noun,7,12.5,1.52,0.77
vibe,1079,abstract,3.560839701,noun,4,11.0,1.89,1.05
sane,1081,abstract,3.351833928,noun,4,8.5,1.79,0.94
glam,1099,abstract,3.298880099,noun,4,11.0,2.43,0.99
knack,1133,abstract,3.358493558,noun,5,9.78,2.05,1.09
enigma,1138,abstract,3.283446691,noun,6,14.17,1.79,1.2
wry,1151,abstract,2.860088582,noun,3,13.4,1.59,0.84
idea,1155,abstract,5.564656286,noun,4,5.95,1.61,1.2
scheme,1171,abstract,4.689568593,noun,6,9.65,2.41,1.19
rawness,1201,abstract,2.385931806,noun,7,8.68,2.36,1.19
tact,1202,abstract,2.883256447,noun,4,10.42,1.76,1.12
norm,1206,abstract,3.52375079,noun,4,9.84,2.11,1.1
mutiny,1230,abstract,3.12709949,noun,6,10.59,2.24,0.97
basis,1237,abstract,4.625307905,noun,5,11.05,1.83,0.97
logic,1273,abstract,3.898224043,noun,5,10.58,1.72,1.07
ego,1295,abstract,3.632249469,noun,3,10.89,1.74,1.1
ethic,1300,abstract,3.303190749,noun,5,10.21,1.59,0.93
sorcery,1307,abstract,2.704335898,noun,7,10.39,2.0,1.11
wisdom,1329,abstract,3.922335631,noun,6,9.61,1.53,0.86
racism,1361,abstract,3.712351274,noun,6,9.56,2.36,1.11
decency,1385,abstract,3.298880099,noun,7,9.0,2.0,1.19
dogma,1388,abstract,2.796106271,noun,5,12.89,1.79,1.03
opinion,1427,abstract,4.693995065,noun,7,8.42,1.93,1.14
loyalty,1463,abstract,3.849550591,noun,7,8.78,1.57,0.88
frenzy,1474,abstract,3.498509451,noun,6,9.53,2.31,1.2
blues,1475,abstract,4.666640224,noun,5,9.81,2.31,1.19
motive,1513,abstract,3.607957783,noun,6,11.06,1.5,0.9
care,1541,abstract,5.340331854,noun,4,5.65,2.33,1.14
version,1546,abstract,4.536782192,noun,7,8.11,1.7,0.79
hype,1578,abstract,3.392092115,noun,4,11.0,1.75,1.17
concern,1589,abstract,4.70014309,noun,7,7.42,1.7,1.02
farce,1592,abstract,3.30426176,noun,5,12.12,2.32,1.19
accord,1596,abstract,3.248403942,noun,6,9.65,1.57,1.04
aspect,1597,abstract,4.235940026,noun,6,10.35,1.82,1.1
purpose,1606,abstract,4.511180642,noun,7,8.37,1.52,0.98
effect,1607,abstract,4.83821905,noun,6,9.26,1.8,1.19
