,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract
110,ember,1350,concrete,2.308519583,noun,5,10.5,4.36,1.04,screwy,1350,abstract,2.142893758,noun,6,10.95,1.83,1.04
111,receipt,1361,concrete,3.682954956,noun,7,8.53,4.86,0.36,racism,1361,abstract,3.712351274,noun,6,9.56,2.36,1.11
112,bleach,1385,concrete,3.223365627,noun,6,8.0,4.74,0.53,decency,1385,abstract,3.298880099,noun,7,9.0,2.0,1.19
113,logbook,1388,concrete,2.729159482,noun,7,12.22,4.54,1.04,dogma,1388,abstract,2.796106271,noun,5,12.89,1.79,1.03
114,factory,1427,concrete,4.587496128,noun,7,6.89,4.76,0.79,opinion,1427,abstract,4.693995065,noun,7,8.42,1.93,1.14
115,dwarf,1463,concrete,3.585037429,noun,5,7.65,4.45,0.95,loyalty,1463,abstract,3.849550591,noun,7,8.78,1.57,0.88
116,vagina,1468,concrete,3.138215495,noun,6,8.89,4.82,0.77,renewal,1468,abstract,3.41672147,noun,7,10.74,2.29,1.05
117,arcade,1474,concrete,3.327179495,noun,6,7.79,4.74,0.53,frenzy,1474,abstract,3.498509451,noun,6,9.53,2.31,1.2
118,rail,1475,concrete,4.397130995,noun,4,7.89,4.9,0.41,blues,1475,abstract,4.666640224,noun,5,9.81,2.31,1.19
119,slum,1513,concrete,3.320017822,noun,4,11.9,4.03,0.98,motive,1513,abstract,3.607957783,noun,6,11.06,1.5,0.9
120,child,1541,concrete,5.144720153,noun,5,5.15,4.78,0.58,care,1541,abstract,5.340331854,noun,4,5.65,2.33,1.14
121,airport,1546,concrete,4.543431747,noun,7,6.84,4.87,0.43,version,1546,abstract,4.536782192,noun,7,8.11,1.7,0.79
122,haze,1578,concrete,3.161118578,noun,4,11.62,4.04,1.02,hype,1578,abstract,3.392092115,noun,4,11.0,1.75,1.17
123,nurse,1589,concrete,4.497824984,noun,5,5.84,4.39,0.96,concern,1589,abstract,4.70014309,noun,7,7.42,1.7,1.02
124,sod,1592,concrete,3.568474554,noun,3,10.82,4.62,0.77,farce,1592,abstract,3.30426176,noun,5,12.12,2.32,1.19
125,grenade,1596,concrete,3.357548412,noun,7,9.72,4.9,0.56,accord,1596,abstract,3.248403942,noun,6,9.65,1.57,1.04
126,podium,1597,concrete,4.166293211,noun,6,9.35,4.89,0.31,aspect,1597,abstract,4.235940026,noun,6,10.35,1.82,1.1
127,choir,1606,concrete,4.241290233,noun,5,6.53,4.34,1.14,purpose,1606,abstract,4.511180642,noun,7,8.37,1.52,0.98
128,island,1607,concrete,4.964337097,noun,6,7.41,4.96,0.19,effect,1607,abstract,4.83821905,noun,6,9.26,1.8,1.19
129,relic,1612,concrete,3.395573452,noun,5,10.63,4.07,1.11,vogue,1612,abstract,3.453890348,noun,5,11.6,2.15,1.13
130,depot,1621,concrete,3.447784174,noun,5,9.11,4.14,1.16,neglect,1621,abstract,3.647558762,noun,7,9.84,2.26,0.98
131,hearse,1656,concrete,2.91321967,noun,6,9.89,4.85,0.46,lieu,1656,abstract,2.712769065,noun,4,11.65,1.73,1.0
132,bum,1686,concrete,4.160374285,noun,3,8.11,4.21,0.92,fraud,1686,abstract,4.251192943,noun,5,10.11,1.68,0.86
133,filet,1690,concrete,2.34894824,noun,5,9.89,4.59,0.63,hater,1690,abstract,2.521810529,noun,5,10.71,2.21,1.15
134,silicon,1693,concrete,3.317949749,noun,7,12.67,4.68,0.67,satire,1693,abstract,3.395573452,noun,6,13.07,1.96,1.0
135,spore,1744,concrete,2.420011596,noun,5,10.76,4.14,1.16,mono,1744,abstract,2.630234177,noun,4,11.22,2.04,1.12
136,nozzle,1752,concrete,2.874712673,noun,6,9.32,4.91,0.3,deceit,1752,abstract,3.013799061,noun,6,10.95,2.37,1.13
137,month,1758,concrete,5.079909865,noun,5,5.79,4.2,0.96,value,1758,abstract,5.004641466,noun,5,6.78,1.62,0.88
138,denture,1765,concrete,2.110709074,noun,7,10.16,4.7,0.72,reissue,1765,abstract,1.926184648,noun,7,12.16,2.15,1.17
139,puree,1791,concrete,3.978131231,noun,5,10.94,4.16,1.11,premium,1791,abstract,3.935535545,noun,7,9.95,2.11,1.1
140,tonsil,1799,concrete,2.252038227,noun,6,9.5,4.72,0.53,renown,1799,abstract,2.420011596,noun,6,11.0,1.68,0.85
141,vessel,1861,concrete,3.934032794,noun,6,9.94,4.66,0.67,rivalry,1861,abstract,3.697901788,noun,7,10.86,2.14,1.13
142,dip,1868,concrete,4.222462594,noun,3,7.0,4.22,0.97,pride,1868,abstract,4.479139007,noun,5,8.95,1.66,1.01
143,trachea,1876,concrete,2.686961802,noun,7,12.05,4.48,0.83,lament,1876,abstract,2.822840525,noun,6,11.81,1.75,1.07
144,office,1886,concrete,5.133502139,noun,6,6.68,4.93,0.27,control,1886,abstract,5.139577387,noun,7,7.26,1.93,1.13
145,sex,1890,concrete,4.795174642,noun,3,9.79,4.1,0.94,doubt,1890,abstract,4.892022475,noun,5,8.79,1.79,1.18
146,clove,1896,concrete,3.074133627,noun,5,10.88,4.42,0.86,ruse,1896,abstract,2.778521097,noun,4,12.17,1.57,0.77
147,bass,1904,concrete,4.176317513,noun,4,8.63,4.31,1.04,fate,1904,abstract,4.224395371,noun,4,10.3,1.53,0.97
148,garb,1910,concrete,2.443923753,noun,4,12.05,4.19,1.11,nuance,1910,abstract,2.515279662,noun,6,11.05,1.85,1.03
149,cubicle,1920,concrete,3.228490105,noun,7,13.11,4.83,0.76,amnesty,1920,abstract,3.466587738,noun,7,12.95,2.18,1.12
150,decoy,1942,concrete,2.976769093,noun,5,9.44,4.34,1.14,dissent,1942,abstract,3.21687381,noun,7,11.44,2.17,1.13
151,insole,1957,concrete,1.871826985,noun,6,12.21,4.11,1.19,qualm,1957,abstract,1.809679079,noun,5,12.67,2.0,1.19
152,capsule,1969,concrete,3.379682857,noun,7,10.44,4.52,0.95,vantage,1969,abstract,3.284567452,noun,7,12.1,1.93,1.05
153,gland,1982,concrete,3.17860931,noun,5,10.61,4.14,1.18,brunt,1982,abstract,3.453890348,noun,5,12.52,2.21,1.2
154,anthrax,1989,concrete,2.473886977,noun,7,14.26,4.44,1.15,conceit,1989,abstract,2.553068223,noun,7,12.3,2.1,1.16
155,nectar,2010,concrete,3.547605327,noun,6,8.95,4.63,0.67,morale,2010,abstract,3.724713431,noun,6,10.62,1.85,1.1
156,cumin,2045,concrete,3.483196201,noun,5,12.85,4.93,0.27,finesse,2045,abstract,3.212931624,noun,7,12.39,1.86,1.08
157,gong,2108,concrete,3.432132228,noun,4,9.62,4.7,0.84,wit,2108,abstract,3.674828627,noun,3,11.05,1.93,1.12
158,scabies,2117,concrete,2.403305902,noun,7,12.0,4.24,1.18,lowdown,2117,abstract,2.614813819,noun,7,12.28,2.38,1.2
159,beret,2150,concrete,2.983537456,noun,5,10.33,4.8,0.65,evasion,2150,abstract,3.276660702,noun,7,12.0,2.46,1.17
160,labia,2170,concrete,2.297795718,noun,5,14.0,4.82,0.48,cahoots,2170,abstract,2.508649083,noun,7,12.19,1.96,1.14
161,sealer,2185,concrete,1.598825713,noun,6,10.12,4.17,0.95,misdeed,2185,abstract,1.394705731,noun,7,10.56,2.3,1.14
162,webcam,2188,concrete,3.175742669,noun,6,15.57,4.89,0.31,ethos,2188,abstract,3.467323207,noun,5,15.71,1.58,0.72
163,enema,2201,concrete,2.481065561,noun,5,13.56,4.44,0.8,duality,2201,abstract,2.297795718,noun,7,12.87,1.93,1.12
164,kiln,2214,concrete,3.249618753,noun,4,10.69,4.82,0.61,ploy,2214,abstract,3.088432679,noun,4,12.5,2.21,1.15
165,velcro,2216,concrete,2.96524867,noun,6,11.48,4.92,0.27,disdain,2216,abstract,2.729159482,noun,7,13.44,1.83,0.89
166,sage,2220,concrete,3.677101235,noun,4,11.39,4.54,0.84,quaint,2220,abstract,3.413406229,noun,6,12.58,1.81,0.92
167,nomad,2278,concrete,2.540833766,noun,5,11.12,4.1,1.16,repute,2278,abstract,2.564967446,noun,6,12.38,1.76,1.05
168,lentil,2290,concrete,2.848024071,noun,6,13.06,4.48,1.12,sexism,2290,abstract,2.969893575,noun,6,13.63,1.61,0.92
169,silt,2311,concrete,3.017955021,noun,4,11.75,4.71,0.53,fetish,2311,abstract,2.841863762,noun,6,13.44,2.48,1.15
170,triceps,2354,concrete,2.093675735,noun,7,11.33,4.46,0.84,rebuff,2354,abstract,1.951008231,noun,6,13.0,2.15,1.17
171,flank,2393,concrete,3.16995199,noun,5,12.15,4.0,1.1,rapport,2393,abstract,3.038158407,noun,7,13.18,1.84,1.07
172,geisha,2400,concrete,2.883256447,noun,6,14.24,4.42,0.93,latent,2400,abstract,2.587830329,noun,6,15.17,1.81,1.0
173,harem,2422,concrete,2.819587367,noun,5,11.0,4.38,1.02,bravado,2422,abstract,2.923622431,noun,7,12.88,1.93,1.12
174,dingo,2437,concrete,2.488127416,noun,5,11.29,4.73,0.78,schmuck,2437,abstract,2.515279662,noun,7,12.64,2.4,1.1
175,tundra,2445,concrete,2.809679079,noun,6,12.06,4.21,1.11,fallacy,2445,abstract,2.630234177,noun,7,13.83,1.8,1.15
176,sunlamp,2462,concrete,1.297795718,noun,7,12.06,4.86,0.44,scathe,2462,abstract,1.172856981,noun,6,13.57,2.0,1.12
177,email,2478,concrete,3.762434277,noun,5,11.52,4.69,0.55,turmoil,2478,abstract,3.677101235,noun,7,12.84,2.11,1.01
178,fencer,2534,concrete,2.227214643,noun,6,11.84,4.44,0.97,rehash,2534,abstract,1.974489327,noun,6,12.24,2.17,1.13
179,fiber,2568,concrete,1.649978236,noun,5,10.82,4.5,1.04,jilt,2568,abstract,1.598825713,noun,4,12.28,2.0,1.15
180,bank,2625,concrete,5.280146112,noun,4,6.44,4.78,0.61,moment,2625,abstract,5.574383885,noun,6,7.95,1.61,1.1
181,thong,2631,concrete,2.960553549,noun,5,12.41,4.93,0.27,empathy,2631,abstract,3.195422809,noun,7,14.32,1.63,1.01
