,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
160,craze,27,abstract,3.483196201,noun,5,9.1,2.04,1.11,privative,false,false craze
162,cricket,28,concrete,4.452219691,noun,7,7.72,4.77,0.68,subsective,authentic,authentic cricket
163,cricket,28,concrete,4.452219691,noun,7,7.72,4.77,0.68,privative,counterfeit,counterfeit cricket
165,courage,28,abstract,4.208953326,noun,7,8.42,1.52,0.99,subsective,real,real courage
166,courage,28,abstract,4.208953326,noun,7,8.42,1.52,0.99,privative,mythical,mythical courage
168,cookout,29,concrete,1.540833766,noun,7,7.42,4.25,1.11,subsective,old,old cookout
169,cookout,29,concrete,1.540833766,noun,7,7.42,4.25,1.11,privative,imaginary,imaginary cookout
171,offense,29,abstract,1.737128411,noun,7,8.61,2.03,1.02,subsective,perfect,perfect offense
172,offense,29,abstract,1.737128411,noun,7,8.61,2.03,1.02,privative,mock,mock offense
174,boa,30,concrete,3.136644808,noun,3,9.56,4.92,0.28,subsective,genuine,genuine boa
175,boa,30,concrete,3.136644808,noun,3,9.56,4.92,0.28,privative,fictional,fictional boa
177,usage,30,abstract,3.266278666,noun,5,10.74,2.07,0.98,subsective,perfect,perfect usage
178,usage,30,abstract,3.266278666,noun,5,10.74,2.07,0.98,privative,mock,mock usage
180,bowel,31,concrete,3.470981986,noun,5,9.72,4.53,0.68,subsective,current,current bowel
181,bowel,31,concrete,3.470981986,noun,5,9.72,4.53,0.68,privative,false,false bowel
183,esteem,31,abstract,3.539591149,noun,6,10.55,1.83,1.04,subsective,perfect,perfect esteem
184,esteem,31,abstract,3.539591149,noun,6,10.55,1.83,1.04,privative,mock,mock esteem
186,manor,32,concrete,3.924136085,noun,5,9.55,4.7,0.61,subsective,real,real manor
187,manor,32,concrete,3.924136085,noun,5,9.55,4.7,0.61,privative,mythical,mythical manor
189,regard,32,abstract,4.188076979,noun,6,10.2,1.79,0.96,subsective,true,true regard
190,regard,32,abstract,4.188076979,noun,6,10.2,1.79,0.96,privative,phony,phony regard
192,knuckle,33,concrete,3.364121643,noun,7,5.94,4.93,0.26,subsective,old,old knuckle
193,knuckle,33,concrete,3.364121643,noun,7,5.94,4.93,0.26,privative,imaginary,imaginary knuckle
195,greed,33,abstract,3.629223014,noun,5,7.63,1.53,0.73,subsective,authentic,authentic greed
196,greed,33,abstract,3.629223014,noun,5,7.63,1.53,0.73,privative,counterfeit,counterfeit greed
198,mulch,34,concrete,2.854098218,noun,5,9.22,4.59,1.05,subsective,current,current mulch
199,mulch,34,concrete,2.854098218,noun,5,9.22,4.59,1.05,privative,false,false mulch
201,splurge,34,abstract,2.635254979,noun,7,10.56,2.0,1.02,subsective,current,current splurge
202,splurge,34,abstract,2.635254979,noun,7,10.56,2.0,1.02,privative,false,false splurge
204,serum,35,concrete,2.57079699,noun,5,10.22,4.27,1.17,subsective,average,average serum
205,serum,35,concrete,2.57079699,noun,5,10.22,4.27,1.17,privative,fabricated,fabricated serum
207,letdown,35,abstract,2.508649083,noun,7,10.28,1.83,1.04,subsective,genuine,genuine letdown
208,letdown,35,abstract,2.508649083,noun,7,10.28,1.83,1.04,privative,fictional,fictional letdown
210,grave,36,concrete,4.198162846,noun,5,7.06,4.56,0.8,subsective,true,true grave
211,grave,36,concrete,4.198162846,noun,5,7.06,4.56,0.8,privative,phony,phony grave
213,pity,36,abstract,4.095236388,noun,4,8.72,1.87,1.14,subsective,old,old pity
214,pity,36,abstract,4.095236388,noun,4,8.72,1.87,1.14,privative,imaginary,imaginary pity
216,hemp,37,concrete,2.620015012,noun,4,12.94,4.85,0.46,subsective,typical,typical hemp
