noun,set_nr,concreteness,Zipf,Length,Syllables,Phonemes,AoA,CNC_M,Valence,RT,CNC_SD,IMAG,denotation,adjective,phrase,frequency_dep,frequency_seq
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,subsective,new,new rubble,0.0,0.0
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,privative,hypothetical,hypothetical rubble,0.0,0.0
rubble,18,concrete,3.769454077,6,2,5,13,4.56,3.7879,632.8333333,0.89,5.938,baseline,bxfjwts,bxfjwts rubble,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,subsective,real,real bland,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,privative,mythical,mythical bland,0.0,0.0
bland,18,abstract,3.498509451,5,1,5,13,2.38,3.0938,611.6285714,1.42,2.656,baseline,tqvgqrz,tqvgqrz bland,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,subsective,actual,actual slave,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,privative,artificial,artificial slave,0.0,0.0
slave,19,concrete,3.86746218,5,1,4,2,4.38,1.5538,496.8157895,0.9,5.563,baseline,qxsw,qxsw slave,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,subsective,new,new sadness,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,privative,hypothetical,hypothetical sadness,0.0,0.0
sadness,19,abstract,3.721860243,7,2,6,2,1.82,1.8485,537.4736842,1.06,4.125,baseline,rjdnw,rjdnw sadness,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,subsective,perfect,perfect ground,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,privative,mock,mock ground,0.0,0.0
ground,20,concrete,5.189751101,6,1,5,2,4.77,5.4333,481.5128205,0.57,6.355,baseline,qxsw,qxsw ground,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,subsective,bad,bad value,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,privative,fake,fake value,0.0,0.0
value,20,abstract,5.004641466,5,2,5,4,1.62,6.3939,512.45,0.88,2.563,baseline,rvqf,rvqf value,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,subsective,typical,typical night,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,privative,spurious,spurious night,0.0,0.0
night,21,concrete,5.650836325,5,1,3,2,4.52,5.9063,508.8421053,0.91,6.588,baseline,mtpv,mtpv night,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,subsective,real,real chance,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,privative,mythical,mythical chance,0.0,0.0
chance,21,abstract,5.455984759,6,1,4,4,1.64,6.4857,531.3,0.99,2.636,baseline,zrtqgfplh,zrtqgfplh chance,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,subsective,perfect,perfect squash,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,privative,mock,mock squash,0.0,0.0
squash,22,concrete,3.924392684,6,1,5,2,4.7,4.1471,558.025,0.78,5.143,baseline,rvqf,rvqf squash,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,subsective,genuine,genuine fuss,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,privative,fictional,fictional fuss,0.0,0.0
fuss,22,abstract,3.953654177,4,1,3,2,2.43,3.2121,589.7297297,1.41,3.677,baseline,fxldmr,fxldmr fuss,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,subsective,old,old packet,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,privative,imaginary,imaginary packet,0.0,0.0
packet,23,concrete,3.895216641,6,2,5,6,4.46,5.1818,535.675,0.79,5.909,baseline,qxsw,qxsw packet,0.0,0.0
