noun,concreteness,adjective,denotation,phrase,frequency_dep,frequency_seq
proxy,abstract,false,privative,false proxy,2.0507947615657905e-10,1.0106397082370764e-09
proxy,abstract,fictional,privative,fictional proxy,8.781740495287652e-11,8.816406581623179e-11
proxy,abstract,fictitious,privative,fictitious proxy,0.0,0.0
proxy,abstract,former,privative,former proxy,1.8406494109443441e-10,2.1257095034306464e-10
proxy,abstract,hypothetical,privative,hypothetical proxy,0.0,3.411463213572792e-11
proxy,abstract,imaginary,privative,imaginary proxy,0.0,0.0
proxy,abstract,mock,privative,mock proxy,0.0,0.0
proxy,abstract,mythical,privative,mythical proxy,0.0,0.0
proxy,abstract,past,privative,past proxy,2.1073877003636806e-11,2.0110386427638528e-10
proxy,abstract,phony,privative,phony proxy,0.0,0.0
proxy,abstract,spurious,privative,spurious proxy,1.6186874403588917e-11,1.7015536443287613e-11
proxy,abstract,virtual,privative,virtual proxy,4.536974477218342e-10,7.593797453326707e-10
myth,abstract,actual,subsective,actual myth,6.425964332696479e-10,4.911515866979874e-10
myth,abstract,authentic,subsective,authentic myth,7.363893202685452e-10,4.5634147501522576e-10
myth,abstract,average,subsective,average myth,1.0976666935487731e-10,6.873887806379816e-11
myth,abstract,bad,subsective,bad myth,5.630525421961124e-10,2.5959782997429646e-10
myth,abstract,current,subsective,current myth,3.2736362905991618e-09,2.2510647751912352e-09
myth,abstract,genuine,subsective,genuine myth,0.0,0.0
myth,abstract,good,subsective,good myth,0.0,0.0
myth,abstract,important,subsective,important myth,0.0,0.0
myth,abstract,new,subsective,new myth,0.0,0.0
myth,abstract,old,subsective,old myth,0.0,0.0
myth,abstract,perfect,subsective,perfect myth,0.0,0.0
myth,abstract,real,subsective,real myth,0.0,0.0
myth,abstract,special,subsective,special myth,0.0,0.0
myth,abstract,true,subsective,true myth,0.0,0.0
myth,abstract,typical,subsective,typical myth,0.0,0.0
myth,abstract,unique,subsective,unique myth,0.0,0.0
myth,abstract,artificial,privative,artificial myth,0.0,0.0
myth,abstract,counterfeit,privative,counterfeit myth,0.0,0.0
myth,abstract,fabricated,privative,fabricated myth,0.0,0.0
myth,abstract,fake,privative,fake myth,0.0,0.0
myth,abstract,false,privative,false myth,0.0,0.0
myth,abstract,fictional,privative,fictional myth,0.0,0.0
myth,abstract,fictitious,privative,fictitious myth,0.0,0.0
myth,abstract,former,privative,former myth,0.0,0.0
myth,abstract,hypothetical,privative,hypothetical myth,0.0,0.0
myth,abstract,imaginary,privative,imaginary myth,0.0,0.0
myth,abstract,mock,privative,mock myth,0.0,0.0
myth,abstract,mythical,privative,mythical myth,0.0,0.0
myth,abstract,past,privative,past myth,0.0,0.0
myth,abstract,phony,privative,phony myth,0.0,0.0
myth,abstract,spurious,privative,spurious myth,0.0,0.0
myth,abstract,virtual,privative,virtual myth,0.0,0.0
prude,abstract,actual,subsective,actual prude,0.0,0.0
prude,abstract,authentic,subsective,authentic prude,0.0,0.0
prude,abstract,average,subsective,average prude,0.0,0.0
prude,abstract,bad,subsective,bad prude,0.0,0.0
prude,abstract,current,subsective,current prude,0.0,0.0
prude,abstract,genuine,subsective,genuine prude,0.0,0.0
prude,abstract,good,subsective,good prude,0.0,0.0
prude,abstract,important,subsective,important prude,0.0,0.0
