noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
logbook,93,concrete,2.729159482,noun,7,12.22,4.54,1.04
dogma,93,abstract,2.796106271,noun,5,12.89,1.79,1.03
factory,94,concrete,4.587496128,noun,7,6.89,4.76,0.79
opinion,94,abstract,4.693995065,noun,7,8.42,1.93,1.14
dwarf,95,concrete,3.585037429,noun,5,7.65,4.45,0.95
loyalty,95,abstract,3.849550591,noun,7,8.78,1.57,0.88
arcade,96,concrete,3.327179495,noun,6,7.79,4.74,0.53
frenzy,96,abstract,3.498509451,noun,6,9.53,2.31,1.2
rail,97,concrete,4.397130995,noun,4,7.89,4.9,0.41
blues,97,abstract,4.666640224,noun,5,9.81,2.31,1.19
slum,98,concrete,3.320017822,noun,4,11.9,4.03,0.98
motive,98,abstract,3.607957783,noun,6,11.06,1.5,0.9
child,99,concrete,5.144720153,noun,5,5.15,4.78,0.58
care,99,abstract,5.340331854,noun,4,5.65,2.33,1.14
airport,100,concrete,4.543431747,noun,7,6.84,4.87,0.43
version,100,abstract,4.536782192,noun,7,8.11,1.7,0.79
haze,101,concrete,3.161118578,noun,4,11.62,4.04,1.02
hype,101,abstract,3.392092115,noun,4,11.0,1.75,1.17
nurse,102,concrete,4.497824984,noun,5,5.84,4.39,0.96
concern,102,abstract,4.70014309,noun,7,7.42,1.7,1.02
sod,103,concrete,3.568474554,noun,3,10.82,4.62,0.77
farce,103,abstract,3.30426176,noun,5,12.12,2.32,1.19
grenade,104,concrete,3.357548412,noun,7,9.72,4.9,0.56
accord,104,abstract,3.248403942,noun,6,9.65,1.57,1.04
podium,105,concrete,4.166293211,noun,6,9.35,4.89,0.31
aspect,105,abstract,4.235940026,noun,6,10.35,1.82,1.1
choir,106,concrete,4.241290233,noun,5,6.53,4.34,1.14
purpose,106,abstract,4.511180642,noun,7,8.37,1.52,0.98
island,107,concrete,4.964337097,noun,6,7.41,4.96,0.19
effect,107,abstract,4.83821905,noun,6,9.26,1.8,1.19
relic,108,concrete,3.395573452,noun,5,10.63,4.07,1.11
vogue,108,abstract,3.453890348,noun,5,11.6,2.15,1.13
depot,109,concrete,3.447784174,noun,5,9.11,4.14,1.16
neglect,109,abstract,3.647558762,noun,7,9.84,2.26,0.98
filet,110,concrete,2.34894824,noun,5,9.89,4.59,0.63
hater,110,abstract,2.521810529,noun,5,10.71,2.21,1.15
silicon,111,concrete,3.317949749,noun,7,12.67,4.68,0.67
satire,111,abstract,3.395573452,noun,6,13.07,1.96,1.0
