item_nr,condition,match_null,string,Zipf.SUBTLEX_UK,PoS.SUBTLEX_UK,Length,AoA.Kuperman,CNC.Brysbaert.M,CNC.Brysbaert.SD
959,Concrete,A2,cleft,2.691370921,noun,5,11.83,4.31,1.05
962,Concrete,A1,museum,4.593527708,noun,6,8.55,4.6,0.91
968,Concrete,A2,maid,3.771647488,noun,4,6.95,4.64,0.87
970,Concrete,A2,pucker,2.495076276,noun,6,7.61,4.13,1.17
975,Concrete,A2,shelter,4.132534236,noun,7,9.21,4.64,0.62
987,Concrete,A2,world,5.882446325,noun,5,5.32,4.36,0.87
988,Concrete,A1,poker,3.783162183,noun,5,9.1,4.2,1.19
996,Concrete,A2,mobster,1.996765722,noun,7,10,4.13,1.25
1000,Concrete,A2,talker,2.863053061,noun,6,5.74,4.39,0.99
1001,Concrete,A2,survey,4.282435528,noun,6,11.26,4.08,1.19
1002,Concrete,A1,lithium,2.857103728,noun,7,13.9,4.13,1.38
1003,Concrete,A2,item,4.699626892,noun,4,5.68,4.41,0.87
1005,Concrete,A2,mare,3.652384305,noun,4,8.84,4.75,0.59
1006,Concrete,A2,bedrock,3.103975692,noun,7,10.67,4.46,0.99
1013,Concrete,A2,ledge,3.377880803,noun,5,11.05,4.72,0.74
1018,Concrete,A2,estate,4.767507306,noun,6,10.84,4.11,1.23
1019,Concrete,A2,brain,4.8371855,noun,5,5.76,4.69,0.74
1024,Concrete,A2,soy,3.638239832,noun,3,13.56,4.7,0.6
1039,Concrete,A1,rosary,2.451610582,noun,6,8.21,4.63,0.81
1051,Concrete,A2,cigar,3.592812729,noun,5,7.67,4.93,0.27
1055,Concrete,A2,pyramid,3.713603445,noun,7,7.61,4.96,0.2
1063,Concrete,A2,gin,3.886347524,noun,3,12.06,4.46,1.07
1065,Concrete,A2,panel,4.3873476,noun,5,9.11,4.26,1.29
1067,Concrete,A2,axle,2.931264173,noun,4,10.85,4.5,1.14
1071,Concrete,A2,joust,2.443923753,noun,5,10.63,4.03,0.93
1078,Concrete,A2,herb,3.764292621,noun,4,9.05,4.57,1.03
1079,Concrete,A2,cog,3.505295441,noun,3,11.33,4.46,1.14
1081,Concrete,A2,cloak,3.426518002,noun,5,6.95,4.71,0.9
1083,Concrete,A1,basin,3.482487148,noun,5,10,4.63,0.79
1091,Concrete,A2,attire,2.96524867,noun,6,11.22,4.47,0.88
1093,Concrete,A2,rind,2.981293035,noun,4,8.95,4.48,1.16
1095,Concrete,A1,bassist,2.553068223,noun,7,11.67,4.17,0.82
1097,Concrete,A2,balcony,3.83435416,noun,7,8.1,4.68,0.72
1099,Concrete,A2,emu,3.072312683,noun,3,9,4.79,0.62
1103,Concrete,A2,album,4.546504453,noun,5,6.72,4.69,0.68
1105,Concrete,A2,tartar,2.785640838,noun,6,9.94,4.4,1.13
1109,Concrete,A1,kebab,3.511313475,noun,5,10.44,4.85,0.6
1122,Concrete,A2,harvest,4.030792246,noun,7,7.4,4,1.31
1127,Concrete,A2,sifter,2.41173907,noun,6,11,4.64,0.62
1131,Concrete,A2,smock,2.528244639,noun,5,6.26,4.78,0.6
1133,Concrete,A2,meter,3.639230242,noun,5,8.56,4.7,0.72
1138,Concrete,A1,carcass,3.451610582,noun,7,12.25,4.46,1.17
1146,Concrete,A2,gateway,3.576549318,noun,7,8.38,4.07,1.33
1151,Concrete,A1,valet,2.948588757,noun,5,13.67,4.26,1.13
1155,Concrete,A2,heart,5.299583497,noun,5,5.17,4.52,0.95
1160,Concrete,A2,carbon,4.385754507,noun,6,10.55,4.22,1.34
1163,Concrete,A1,mayor,4.392179489,noun,5,8.28,4.37,1.08
1164,Concrete,A2,cadet,3.316912008,noun,5,9.68,4.21,0.92
1168,Concrete,A2,growl,3.098856247,noun,5,5.79,4.3,1.1
1170,Concrete,A2,petrol,4.241413876,noun,6,12.28,4.29,1.23
1171,Concrete,A2,video,4.556133631,noun,5,8.06,4.67,0.62
1175,Concrete,A2,puss,3.115691475,noun,4,8.5,4.21,1.23
1180,Concrete,A2,yarn,3.142893758,noun,4,6.61,4.93,0.37
1194,Concrete,A2,driver,4.708657272,noun,6,4.95,4.71,0.66
1201,Concrete,A2,bowtie,2.18709742,noun,6,7.94,4.89,0.31
1202,Concrete,A2,pug,2.883256447,noun,3,9.17,4.62,0.9
1206,Concrete,A2,locket,3.234811825,noun,6,8.35,4.82,0.48
1209,Concrete,A2,rum,3.91321967,noun,3,11.56,4.93,0.26
1216,Concrete,A1,shot,5.196904576,noun,4,5.84,4.44,0.89
1220,Concrete,A2,lunge,2.926184648,noun,5,9.83,4.16,1.21
1225,Concrete,A2,crease,3.125488006,noun,6,7.79,4.45,0.95
1229,Concrete,A2,flesh,4.150580586,noun,5,8.3,4.59,0.95
1230,Concrete,A2,shears,2.936284974,noun,6,9.46,4.61,0.84
1237,Concrete,A1,pub,4.706671391,noun,3,12.05,4.71,0.6
1245,Concrete,A2,store,4.631595524,noun,5,4.76,4.5,0.65
1246,Concrete,A2,topaz,2.598825713,noun,5,11.19,4.37,1.25
1247,Concrete,A2,beet,3.115691475,noun,4,6.56,4.8,0.76
1252,Concrete,A1,bistro,2.851071764,noun,6,11.79,4.44,1.16
1268,Concrete,A2,jockey,3.859791018,noun,6,8.28,4.59,0.91
1273,Concrete,A1,slate,3.892464449,noun,5,9.25,4.58,0.86
1276,Concrete,A2,carp,3.13506842,noun,4,11.42,4.62,0.9
1284,Concrete,A2,lobe,2.943708993,noun,4,10.17,4.44,0.85
1289,Concrete,A2,vendor,3.120617363,noun,6,10.17,4.5,0.92
1295,Concrete,A2,moat,3.68563029,noun,4,9.65,4.69,0.62
1299,Concrete,A2,gull,3.10566885,noun,4,8.65,4.08,1.52
1300,Concrete,A2,muzzle,3.066803588,noun,6,8.44,4.59,0.8
1306,Concrete,A2,brine,2.969893575,noun,5,14.25,4.24,1.23
1307,Concrete,A1,biceps,2.785640838,noun,6,9.42,4.93,0.27
1321,Concrete,A2,manual,3.699196258,noun,6,7.57,4.45,0.91
1324,Concrete,A2,shaft,3.604220745,noun,5,10.17,4.71,0.53
1325,Concrete,A2,liquor,3.481065561,noun,6,8.4,4.73,0.53
1328,Concrete,A2,city,5.397424572,noun,4,6.56,4.79,0.57
1329,Concrete,A2,poster,3.925929105,noun,6,8.12,4.66,1.04
1333,Concrete,A2,bicep,2.466587738,noun,5,8.67,4.67,0.73
1342,Concrete,A1,satchel,2.654777119,noun,7,12.35,4.73,0.69
1344,Concrete,A1,realtor,2.017955021,noun,7,11.71,4.61,0.88
1349,Concrete,A2,hash,3.308519583,noun,4,12.74,4.1,1.32
1350,Concrete,A2,ember,2.308519583,noun,5,10.5,4.36,1.04
1351,Concrete,A2,syringe,3.122246988,noun,7,10.63,4.81,0.57
1361,Concrete,A2,receipt,3.682954956,noun,7,8.53,4.86,0.36
1376,Concrete,A2,tuxedo,2.620015012,noun,6,8.26,4.86,0.44
1385,Concrete,A2,bleach,3.223365627,noun,6,8,4.74,0.53
1387,Concrete,A1,snuff,3.675739098,noun,5,11.79,4.04,1.29
1388,Concrete,A1,logbook,2.729159482,noun,7,12.22,4.54,1.04
1390,Concrete,A1,cafe,4.251072054,noun,4,8.75,4.96,0.19
1391,Concrete,A2,puma,2.918452197,noun,4,9,4.86,0.44
1403,Concrete,A2,carjack,1.297795718,noun,7,12.33,4.39,0.99
1420,Concrete,A1,trunk,3.929746544,noun,5,8.3,4.71,0.69
1421,Concrete,A2,bullet,4.075765974,noun,6,6.7,4.83,0.82
1423,Concrete,A2,ad,4.094716793,noun,2,8.22,4.46,1.14
1427,Concrete,A2,factory,4.587496128,noun,7,6.89,4.76,0.79
1435,Concrete,A2,buggy,3.414237415,noun,5,6.95,4.18,1.16
