word,item_nr,condition,Zipf,PoS,Length,AoA,CNC_M,CNC_SD
alcove,1472,concrete,2.68250746,noun,6,12.11,4.08,1.21
arcade,1474,concrete,3.327179495,noun,6,7.79,4.74,0.53
rail,1475,concrete,4.397130995,noun,4,7.89,4.9,0.41
clergy,1478,concrete,3.362253707,noun,6,10.15,4.03,1.3
casing,1487,concrete,3.074133627,noun,6,11.53,4.28,1.33
warship,1489,concrete,3.091935073,noun,7,10.44,4.86,0.44
acre,1494,concrete,3.925929105,noun,4,9.8,4.18,1.22
neon,1508,concrete,3.269766994,noun,4,8.0,4.07,1.26
slum,1513,concrete,3.320017822,noun,4,11.9,4.03,0.98
mogul,1515,concrete,2.865997442,noun,5,12.32,4.04,1.31
squid,1526,concrete,3.824134995,noun,5,7.32,4.71,0.71
flea,1528,concrete,3.499875159,noun,4,7.79,4.89,0.32
marrow,1532,concrete,3.595008914,noun,6,12.16,4.48,0.96
county,1535,concrete,4.768059164,noun,6,8.9,4.04,1.1
truffle,1536,concrete,3.602070768,noun,7,13.62,4.6,0.97
child,1541,concrete,5.144720153,noun,5,5.15,4.78,0.58
airport,1546,concrete,4.543431747,noun,7,6.84,4.87,0.43
teat,1551,concrete,2.712769065,noun,4,11.94,4.38,1.24
board,1552,concrete,5.098942068,noun,5,6.37,4.57,1.0
larva,1557,concrete,2.737128411,noun,5,8.83,4.52,0.82
sulfur,1561,concrete,1.649978236,noun,6,13.6,4.43,0.94
pesto,1571,concrete,3.343118696,noun,5,13.8,4.46,0.78
barge,1572,concrete,3.596102855,noun,5,9.28,4.66,0.9
bugle,1573,concrete,3.013799061,noun,5,8.88,4.84,0.47
haze,1578,concrete,3.161118578,noun,4,11.62,4.04,1.02
abscess,1579,concrete,2.946155729,noun,7,13.11,4.48,0.8
nurse,1589,concrete,4.497824984,noun,5,5.84,4.39,0.96
sod,1592,concrete,3.568474554,noun,3,10.82,4.62,0.77
grenade,1596,concrete,3.357548412,noun,7,9.72,4.9,0.56
podium,1597,concrete,4.166293211,noun,6,9.35,4.89,0.31
roofer,1600,concrete,2.712769065,noun,6,7.84,4.79,0.5
tee,1602,concrete,3.848635323,noun,3,8.21,4.59,0.91
choir,1606,concrete,4.241290233,noun,5,6.53,4.34,1.14
island,1607,concrete,4.964337097,noun,6,7.41,4.96,0.19
relic,1612,concrete,3.395573452,noun,5,10.63,4.07,1.11
bisque,1614,concrete,3.150580586,noun,6,14.0,4.08,1.29
depot,1621,concrete,3.447784174,noun,5,9.11,4.14,1.16
router,1653,concrete,2.620015012,noun,6,12.68,4.19,1.33
hearse,1656,concrete,2.91321967,noun,6,9.89,4.85,0.46
band,1657,concrete,4.935510541,noun,4,6.16,4.68,0.77
racket,1664,concrete,3.621563301,noun,6,8.2,4.26,1.1
lapel,1666,concrete,2.74881417,noun,5,11.73,4.56,1.09
tit,1669,concrete,3.478924417,noun,3,10.32,4.64,0.95
keypad,1671,concrete,2.367833584,noun,6,10.05,4.81,0.79
gnat,1672,concrete,2.481065561,noun,4,10.1,4.83,0.61
injury,1682,concrete,4.567308662,noun,6,7.56,4.0,1.22
whore,1683,concrete,3.389462675,noun,5,12.22,4.15,1.06
bum,1686,concrete,4.160374285,noun,3,8.11,4.21,0.92
filet,1690,concrete,2.34894824,noun,5,9.89,4.59,0.63
frame,1691,concrete,4.75541272,noun,5,7.67,4.3,1.23
silicon,1693,concrete,3.317949749,noun,7,12.67,4.68,0.67
campus,1694,concrete,3.58053109,noun,6,10.84,4.64,0.68
whaler,1701,concrete,2.017955021,noun,6,11.5,4.34,1.11
leek,1708,concrete,3.562023065,noun,4,11.0,4.92,0.28
heroin,1723,concrete,3.773829877,noun,6,10.88,4.57,0.94
vein,1726,concrete,3.579397161,noun,4,8.53,4.63,0.93
fiddle,1728,concrete,3.656206504,noun,6,8.28,4.81,0.69
alloy,1730,concrete,3.133486289,noun,5,14.53,4.29,0.98
orchid,1733,concrete,3.314829057,noun,6,9.76,4.92,0.28
zinc,1736,concrete,3.225935424,noun,4,12.47,4.4,1.28
juror,1741,concrete,2.515279662,noun,5,10.16,4.29,1.3
foliage,1742,concrete,3.652863924,noun,7,10.63,4.67,0.96
spore,1744,concrete,2.420011596,noun,5,10.76,4.14,1.16
nozzle,1752,concrete,2.874712673,noun,6,9.32,4.91,0.3
quad,1753,concrete,3.351833928,noun,4,12.58,4.07,1.33
month,1758,concrete,5.079909865,noun,5,5.79,4.2,0.96
denture,1765,concrete,2.110709074,noun,7,10.16,4.7,0.72
alfalfa,1768,concrete,1.926184648,noun,7,8.83,4.69,0.74
swab,1774,concrete,3.074133627,noun,4,8.94,4.34,0.94
company,1784,concrete,5.227137996,noun,7,6.84,4.11,1.15
veteran,1789,concrete,3.823164504,noun,7,9.9,4.58,0.81
puree,1791,concrete,3.978131231,noun,5,10.94,4.16,1.11
conch,1793,concrete,2.806325436,noun,5,10.5,4.52,1.19
tonsil,1799,concrete,2.252038227,noun,6,9.5,4.72,0.53
orb,1805,concrete,2.796106271,noun,3,11.17,4.12,0.99
aorta,1806,concrete,2.897132851,noun,5,13.06,4.61,0.63
shallot,1809,concrete,3.233554821,noun,7,14.79,4.59,1.01
salon,1814,concrete,3.792993036,noun,5,9.5,4.73,0.74
talon,1834,concrete,2.41173907,noun,5,10.53,4.8,0.48
rapist,1848,concrete,3.077752769,noun,6,12.05,4.32,1.22
morgue,1850,concrete,3.115691475,noun,6,10.53,4.62,0.92
cyst,1859,concrete,2.771282688,noun,4,11.81,4.23,1.19
vessel,1861,concrete,3.934032794,noun,6,9.94,4.66,0.67
suede,1865,concrete,3.070484072,noun,5,10.5,4.24,1.33
dip,1868,concrete,4.222462594,noun,3,7.0,4.22,0.97
darts,1869,concrete,4.155580369,noun,5,7.03,4.83,0.48
froth,1871,concrete,3.009602947,noun,5,12.56,4.14,1.15
trachea,1876,concrete,2.686961802,noun,7,12.05,4.48,0.83
asshole,1877,concrete,3.341157996,noun,7,9.52,4.08,1.23
office,1886,concrete,5.133502139,noun,6,6.68,4.93,0.27
