"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
121,"Concrete","A1","tackle",4.590826623,"verb",6,9.3,4.28
122,"Abstract","A2","null",2.582226451,"noun",4,11.53,1.79
122,"Concrete","A2","earwig",2.488127416,"noun",6,10.71,4.78
123,"Abstract","A1","affirmative",3.088432679,"adjective",11,10.67,1.93
123,"Concrete","A1","whirlwind",3.210283479,"adjective",9,10.5,4.07
124,"Abstract","A1","appeal",4.591324002,"noun",6,10.21,1.73
124,"Concrete","A1","computer",4.641155069,"noun",8,9.7,4.93
125,"Abstract","A1","gutless",2.443923753,"adjective",7,11.17,1.75
125,"Concrete","A1","jalapeno",2.466587738,"adjective",8,11.33,4.85
126,"Abstract","A2","stigma",3.316912008,"noun",6,15.56,1.76
126,"Concrete","A2","webcam",3.175742669,"noun",6,15.57,4.89
127,"Abstract","A2","suave",2.910579574,"noun",5,11.05,1.48
127,"Concrete","A2","harem",2.819587367,"noun",5,11,4.38
128,"Abstract","A1","stupid",4.783942714,"adjective",6,4.4,1.75
128,"Concrete","A1","sweet",4.978855961,"adjective",5,4.53,4
129,"Abstract","A1","amateurish",2.466587738,"adjective",10,12.57,1.93
129,"Concrete","A1","pectoral",2.403305902,"adjective",8,12.89,4
130,"Abstract","A2","foolproof",2.841863762,"adjective",9,9.71,1.79
130,"Concrete","A2","headless",3.040128,"adjective",8,8.72,4.42
131,"Abstract","A2","awe",3.777442996,"noun",3,9.06,1.89
131,"Concrete","A2","widow",3.779238346,"noun",5,9,4.33
132,"Abstract","A2","loyalty",3.849550591,"noun",7,8.78,1.57
132,"Concrete","A2","oyster",3.824134995,"noun",6,8,4.85
133,"Abstract","A1","righteous",3.19404628,"adjective",9,10.21,1.43
133,"Concrete","A1","pedestrian",3.292332822,"adjective",10,9.75,4.41
134,"Abstract","A1","promiscuous",2.7000571,"adjective",11,13.3,1.88
134,"Concrete","A1","mercenary",2.832456293,"adjective",9,13,4.3
