,word_concrete,item_nr_concrete,condition_concrete,Zipf_concrete,PoS_concrete,Length_concrete,AoA_concrete,CNC_M_concrete,CNC_SD_concrete,word_abstract,item_nr_abstract,condition_abstract,Zipf_abstract,PoS_abstract,Length_abstract,AoA_abstract,CNC_M_abstract,CNC_SD_abstract,exclude?
75,thorax,294,concrete,2.540833766,noun,6,11.31,4.56,1,relapse,294,abstract,2.649978236,noun,7,12.89,2.21,1.18,
76,parsnip,297,concrete,3.267444558,noun,7,10.75,4.85,0.77,virtue,297,abstract,3.514621141,noun,6,11.53,1.62,1.12,
77,wound,298,concrete,4.102956619,noun,5,7.52,4.24,0.78,mercy,298,abstract,4.02370735,noun,5,8.74,1.57,0.73,
78,maze,300,concrete,3.688730825,noun,4,7.11,4.45,0.95,resale,300,abstract,3.663283702,noun,6,8.55,2.26,1.23,
79,citizen,314,concrete,3.88522604,noun,7,7.74,4.43,1.01,madness,314,abstract,4.029384483,noun,7,9.42,1.97,1.2,
80,tibia,315,concrete,2.760193715,noun,5,12.12,4.48,1.16,brevity,315,abstract,2.5019157,noun,7,13.47,2.23,1.31,
81,smile,316,concrete,4.712518439,noun,5,3.51,4.5,0.75,hell,316,abstract,4.885955334,noun,4,5.11,2.41,1.72,
82,pint,322,concrete,4.143668592,noun,4,8.37,4.43,0.84,phase,322,abstract,4.142117538,noun,5,9.4,2.46,1.26,
83,mesh,336,concrete,3.270923571,noun,4,9.89,4.41,0.95,craze,336,abstract,3.483196201,noun,5,9.1,2.04,1.11,
84,cricket,337,concrete,4.452219691,noun,7,7.72,4.77,0.68,courage,337,abstract,4.208953326,noun,7,8.42,1.52,0.99,
85,mascara,338,concrete,3.051761583,noun,7,9.21,4.93,0.26,softie,338,abstract,2.857103728,noun,6,9.47,1.96,1.19,
86,rifle,342,concrete,3.618461184,noun,5,7.85,4.85,0.46,unity,342,abstract,3.841553441,noun,5,9.48,2.23,1.38,
87,cookout,354,concrete,1.540833766,noun,7,7.42,4.25,1.11,offense,354,abstract,1.737128411,noun,7,8.61,2.03,1.02,
88,kick,358,concrete,4.908429269,noun,4,4.06,4.33,0.98,truth,358,abstract,4.909890512,noun,5,4.42,1.96,1.4,
89,notch,366,concrete,3.57079699,noun,5,8.47,4.23,0.91,wits,366,abstract,3.697901788,noun,4,10.25,1.76,1.12,
90,planet,369,concrete,4.659995356,noun,6,6.67,4.58,1.14,respect,369,abstract,4.771975546,noun,7,8.5,2.04,1.27,
91,boa,377,concrete,3.136644808,noun,3,9.56,4.92,0.28,usage,377,abstract,3.266278666,noun,5,10.74,2.07,0.98,
92,lagoon,378,concrete,3.26040179,noun,6,9.42,4.5,0.94,haste,378,abstract,3.232294169,noun,5,9,2.29,1.37,
93,bowel,380,concrete,3.470981986,noun,5,9.72,4.53,0.68,esteem,380,abstract,3.539591149,noun,6,10.55,1.83,1.04,
94,lark,382,concrete,3.521810529,noun,4,11.82,4.28,1.31,unrest,382,abstract,3.586715323,noun,6,10.5,2.24,1.02,
95,spa,383,concrete,3.790556107,noun,3,11.06,4.67,0.92,micro,383,abstract,3.692684975,noun,5,10.44,2.08,1.25,x
96,gavel,392,concrete,3.528882838,noun,5,9.22,4.88,0.43,bland,392,abstract,3.498509451,noun,5,8.35,2.38,1.42,x
97,footman,393,concrete,2.725119504,noun,7,11.59,4.55,0.87,tangent,393,abstract,2.515279662,noun,7,12.16,2.08,1.38,
98,boat,395,concrete,4.886235506,noun,4,3.84,4.93,0.37,plenty,395,abstract,5.005365894,noun,6,5.76,2.39,1.5,
99,fritter,397,concrete,2.767617734,noun,7,13,4.11,1.5,slander,397,abstract,2.664218675,noun,7,14,2.33,1.35,
100,bunny,405,concrete,3.890804723,noun,5,4.5,4.97,0.19,hint,405,abstract,3.948588757,noun,4,5.95,2.33,1.27,
101,manor,406,concrete,3.924136085,noun,5,9.55,4.7,0.61,regard,406,abstract,4.188076979,noun,6,10.2,1.79,0.96,
102,knuckle,409,concrete,3.364121643,noun,7,5.94,4.93,0.26,greed,409,abstract,3.629223014,noun,5,7.63,1.53,0.73,
103,pretzel,412,concrete,2.376976964,noun,7,5,4.74,0.86,fibber,412,abstract,2.227214643,noun,6,7,2.44,1.45,
104,mussel,414,concrete,3.253242928,noun,6,10,4.69,0.76,truce,414,abstract,3.188496115,noun,5,8.8,2.47,1.31,
105,pageant,415,concrete,3.371514068,noun,7,10,4,1.2,bonding,415,abstract,3.457663565,noun,7,11.44,2.48,1.27,
106,ricotta,417,concrete,3.098856247,noun,7,12.67,4.86,0.52,abreast,417,abstract,2.799539447,noun,7,13.06,2.23,1.31,x
107,shroud,425,concrete,2.838750526,noun,6,11.65,4.34,1.17,sync,425,abstract,2.994588803,noun,4,13.22,2.38,1.3,
108,archway,431,concrete,3.059347706,noun,7,10.06,4.28,1.31,queer,431,abstract,3.236065201,noun,5,11.1,2.04,1.37,
109,mulch,438,concrete,2.854098218,noun,5,9.22,4.59,1.05,splurge,438,abstract,2.635254979,noun,7,10.56,2,1.02,
110,serum,441,concrete,2.57079699,noun,5,10.22,4.27,1.17,letdown,441,abstract,2.508649083,noun,7,10.28,1.83,1.04,
111,satin,442,concrete,3.12709949,noun,5,10.37,4.57,0.94,upkeep,442,abstract,3.017955021,noun,6,11.17,2.44,1.37,
112,grave,444,concrete,4.198162846,noun,5,7.06,4.56,0.8,pity,444,abstract,4.095236388,noun,4,8.72,1.87,1.14,
113,hemp,459,concrete,2.620015012,noun,4,12.94,4.85,0.46,snub,459,abstract,2.614813819,noun,4,12.1,2.41,1.15,x
114,pendant,462,concrete,3.457663565,noun,7,10.3,4.75,0.59,urgency,462,abstract,3.582226451,noun,7,9.81,2.03,1.12,
115,dragon,463,concrete,4.276888618,noun,6,5.58,4.39,1.03,soul,463,abstract,4.526773212,noun,4,6.17,1.86,1.33,
