display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,bird,ostrich,left,more
trial_experimental,1,plan,ploy,right,more
trial_experimental,1,sphere,lustrous sphere,right,more
trial_experimental,1,green gem,emerald,left,more
trial_experimental,1,gardening tool,trowel,right,more
trial_experimental,1,residential building,house,right,more
trial_experimental,1,juicy fruit,fruit,left,more
trial_experimental,1,river,stream,right,more
trial_experimental,1,building,religious building,right,more
trial_experimental,1,purple fruit,grape,left,more
trial_experimental,1,whale,marine mammal,left,more
trial_experimental,1,food,Italian food,left,more
trial_experimental,1,bird,nocturnal bird,right,more
trial_experimental,1,agricultural vehicle,vehicle,right,more
trial_experimental,1,music,sound,left,more
trial_experimental,1,gem,red gem,left,more
trial_experimental,1,French loaf,baguette,left,more
trial_experimental,1,predator,marine predator,right,more
trial_experimental,1,product,hairspray,right,more
trial_experimental,1,dog,Labrador,left,more
trial_experimental,1,fish,flat fish,left,more
trial_experimental,1,marsupial,pouched mammal,right,more
trial_experimental,1,computer,portable computer,right,more
trial_experimental,1,naval rank,rank,left,more
trial_experimental,1,person,hermit,right,more
trial_experimental,1,vegetable,pea,left,more
trial_experimental,1,cat,black cat,right,more
trial_experimental,1,watermelon,fruit,right,more
trial_experimental,1,bagel,bread,left,more
trial_experimental,1,crocodile,large reptile,right,more
trial_experimental,1,hedgehog,mammal,left,more
trial_experimental,1,sculpture,bust,right,more
trial_experimental,1,female ruler,ruler,left,more
trial_experimental,1,kebab,meat,left,more
trial_experimental,1,empress,ruler,right,more
trial_experimental,1,jacket,garment,left,more
trial_experimental,1,handle,round handle,right,more
trial_experimental,1,warm clothing,jumper,left,more
trial_experimental,1,bird,robin,right,more
trial_experimental,1,tined utensil,fork,left,more
trial_experimental,1,vegetable,starchy vegetable,left,more
trial_experimental,1,loaf,French loaf,right,more
trial_experimental,1,medical vehicle,ambulance,right,more
trial_experimental,1,mammal,spiky mammal,left,more
trial_experimental,1,rain boots,boots,right,more
trial_experimental,1,waddling bird,bird,right,more
trial_experimental,1,beret,French hat,right,more
trial_experimental,1,flu,seasonal illness,right,more
trial_experimental,1,clogs,shoe,left,more
trial_experimental,1,yellow fruit,banana,right,more
trial_experimental,1,school,institution,right,more
trial_experimental,1,vehicle,transport vehicle,left,more
trial_experimental,1,plan,cunning plan,right,more
trial_experimental,1,ringed planet,Saturn,right,more
trial_experimental,1,vegetable,spherical vegetable,left,more
trial_experimental,1,odour,unpleasant odour,left,more
trial_experimental,1,wooden building,cabin,right,more
trial_experimental,1,bedding,warm bedding,right,more
trial_experimental,1,flounder,flat fish,right,more
trial_experimental,1,apple,fruit,left,more
trial_experimental,1,swan,graceful bird,left,more
trial_experimental,1,shears,tool,left,more
trial_experimental,1,red bird,cardinal,left,more
trial_experimental,1,icicle,stick,left,more
trial_experimental,1,gem,sapphire,right,more
trial_experimental,1,fruit,fuzzy fruit,left,more
trial_experimental,1,wine,sparkling wine,left,more
trial_experimental,1,mansion,house,left,more
trial_experimental,1,penguin,bird,right,more
trial_experimental,1,mammal,tall mammal,left,more
trial_experimental,1,building,medical building,right,more
trial_experimental,1,skewered meat,meat,left,more
trial_experimental,1,submarine,underwater vehicle,left,more
trial_experimental,1,mammal,pouched mammal,right,more
trial_experimental,1,protective hat,hat,right,more
trial_experimental,1,vegetable,aubergine,right,more
trial_experimental,1,small bird,robin,right,more
trial_experimental,1,coniferous tree,tree,left,more
trial_experimental,1,thorny flower,flower,left,more
trial_experimental,1,purple vegetable,vegetable,right,more
trial_experimental,1,penguin,waddling bird,left,more
trial_experimental,1,tree,palm,left,more
trial_experimental,1,barn,farm building,left,more
trial_experimental,1,frog,hopping amphibian,right,more
trial_experimental,1,vehicle,underwater vehicle,right,more
trial_experimental,1,pug,wrinkly dog,right,more
trial_experimental,1,rose,flower,left,more
trial_experimental,1,vegetable,leafy vegetable,right,more
trial_experimental,1,wellies,rain boots,left,more
trial_experimental,1,odour,stench,left,more
trial_experimental,1,hat,French hat,right,more
trial_experimental,1,knob,round handle,left,more
trial_experimental,1,fir,tree,left,more
trial_experimental,1,gooey cheese,cheese,left,more
trial_experimental,1,hedgehog,spiky mammal,right,more
trial_experimental,1,warm bedding,blanket,left,more
trial_experimental,1,metal,iron,right,more
trial_experimental,1,beauty product,hairspray,left,more
trial_experimental,1,cat,panther,left,more
trial_experimental,1,dog,guide dog,right,more
trial_experimental,1,purple fruit,fruit,right,more
trial_experimental,1,mansion,large house,left,more
trial_experimental,1,starchy vegetable,potato,right,more
trial_experimental,1,admiral,rank,right,more
trial_experimental,1,bagel,ring-shaped bread,right,more
trial_experimental,1,German car,car,right,more
trial_experimental,1,industrial building,factory,right,more
trial_experimental,1,chef,professional cook,right,more
trial_experimental,1,bird,small bird,left,more
trial_experimental,1,light meal,snack,left,more
trial_experimental,1,instrument,forceps,right,more
trial_experimental,1,amphibian,frog,left,more
trial_experimental,1,marine mammal,mammal,left,more
trial_experimental,1,sparkling wine,champagne,right,more
trial_experimental,1,aria,operatic solo,right,more
trial_experimental,1,crisps,potato snacks,left,more
trial_experimental,1,music,melodic sound,left,more
trial_experimental,1,diplomat,senior diplomat,left,more
trial_experimental,1,vegetable,potato,right,more
trial_experimental,1,ruby,gem,right,more
trial_experimental,1,whale,mammal,left,more
trial_experimental,1,metal,magnetic metal,right,more
trial_experimental,1,tiger,cat,right,more
trial_experimental,1,bread,ring-shaped bread,left,more
trial_experimental,1,lorry,vehicle,left,more
trial_experimental,1,rose,thorny flower,right,more
trial_experimental,1,black cat,panther,right,more
trial_experimental,1,dish,sushi,right,more
trial_experimental,1,cabin,building,left,more
trial_experimental,1,tiny dog,Chihuahua,right,more
trial_experimental,1,mammal,nocturnal mammal,right,more
trial_experimental,1,building,barn,left,more
trial_experimental,1,wellies,boots,left,more
trial_experimental,1,vehicle,horse-drawn vehicle,left,more
trial_experimental,1,purple vegetable,aubergine,right,more
trial_experimental,1,senior diplomat,ambassador,right,more
trial_experimental,1,corn,vegetable,left,more
trial_experimental,1,warm clothing,clothing,left,more
trial_experimental,1,large bird,bird,right,more
trial_experimental,1,vehicle,ambulance,left,more
trial_experimental,1,striped cat,tiger,left,more
trial_experimental,1,daffodil,flower,left,more
trial_experimental,1,vehicle,tractor,left,more
trial_experimental,1,python,large snake,right,more
trial_experimental,1,pumpkin,vegetable,left,more
trial_experimental,1,sound,melodic sound,right,more
trial_experimental,1,large house,house,left,more
trial_experimental,1,vegetable,lettuce,right,more
trial_experimental,1,backless seat,seat,right,more
trial_experimental,1,submarine,vehicle,left,more
trial_experimental,1,bus,public transport,right,more
trial_experimental,1,cat,hairless cat,right,more
trial_experimental,1,building,farm building,right,more
trial_experimental,1,cutting tool,tool,right,more
