display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,sphere,lustrous sphere,left,less
trial_experimental,1,building,factory,left,less
trial_experimental,1,cutting tool,tool,right,less
trial_experimental,1,chef,professional cook,right,less
trial_experimental,1,wooden shoe,clogs,left,less
trial_experimental,1,horse,zebra,left,less
trial_experimental,1,mammal,marsupial,left,less
trial_experimental,1,cocktail,mixed drink,right,less
trial_experimental,1,wellies,boots,right,less
trial_experimental,1,anthology,poetry collection,right,less
trial_experimental,1,python,large snake,right,less
trial_experimental,1,marsupial,pouched mammal,right,less
trial_experimental,1,food,Italian food,left,less
trial_experimental,1,penguin,bird,right,less
trial_experimental,1,agricultural vehicle,vehicle,right,less
trial_experimental,1,yellow fruit,fruit,right,less
trial_experimental,1,product,hairspray,left,less
trial_experimental,1,spade,digging tool,right,less
trial_experimental,1,amphibian,frog,left,less
trial_experimental,1,bronze,alloy,right,less
trial_experimental,1,kerneled vegetable,vegetable,right,less
trial_experimental,1,coniferous tree,fir,left,less
trial_experimental,1,spherical vegetable,pea,left,less
trial_experimental,1,crime,shoplifting,left,less
trial_experimental,1,magnetic metal,iron,left,less
trial_experimental,1,lorry,transport vehicle,right,less
trial_experimental,1,whale,mammal,right,less
trial_experimental,1,hat,French hat,left,less
trial_experimental,1,topical cream,cream,right,less
trial_experimental,1,whale,marine mammal,right,less
trial_experimental,1,cabin,building,right,less
trial_experimental,1,building,barn,left,less
trial_experimental,1,bird,graceful bird,left,less
trial_experimental,1,french loaf,baguette,left,less
trial_experimental,1,carrot,orange vegetable,right,less
trial_experimental,1,bird,robin,left,less
trial_experimental,1,aria,operatic solo,right,less
trial_experimental,1,stench,unpleasant odour,right,less
trial_experimental,1,river,stream,left,less
trial_experimental,1,ruby,red gem,right,less
trial_experimental,1,corn,vegetable,right,less
trial_experimental,1,durian,thorny fruit,right,less
trial_experimental,1,wooden building,cabin,left,less
trial_experimental,1,pasta,food,right,less
trial_experimental,1,fish,flat fish,left,less
trial_experimental,1,slow animal,animal,right,less
trial_experimental,1,German car,car,right,less
trial_experimental,1,red bird,cardinal,left,less
trial_experimental,1,outer garment,jacket,left,less
trial_experimental,1,wellies,rain boots,right,less
trial_experimental,1,vehicle,armoured vehicle,left,less
trial_experimental,1,stick,frozen stick,left,less
trial_experimental,1,mammal,giraffe,left,less
trial_experimental,1,snake,large snake,left,less
trial_experimental,1,tree,tropical tree,left,less
trial_experimental,1,plan,cunning plan,left,less
trial_experimental,1,bat,nocturnal mammal,right,less
trial_experimental,1,hedgehog,mammal,right,less
trial_experimental,1,vegetable,pea,left,less
trial_experimental,1,admiral,rank,right,less
