display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,cook,chef,left,specific
trial_experimental,1,storm,violent weather,right,specific
trial_experimental,1,building,factory,right,specific
trial_experimental,1,instrument,grasping instrument,right,specific
trial_experimental,1,bird,ostrich,left,specific
trial_experimental,1,plan,ploy,right,specific
trial_experimental,1,sphere,lustrous sphere,right,specific
trial_experimental,1,green gem,emerald,left,specific
trial_experimental,1,gardening tool,trowel,right,specific
trial_experimental,1,residential building,house,right,specific
trial_experimental,1,juicy fruit,fruit,left,specific
trial_experimental,1,river,stream,right,specific
trial_experimental,1,building,religious building,right,specific
trial_experimental,1,purple fruit,grape,left,specific
trial_experimental,1,whale,marine mammal,left,specific
trial_experimental,1,food,Italian food,left,specific
trial_experimental,1,bird,nocturnal bird,right,specific
trial_experimental,1,agricultural vehicle,vehicle,right,specific
trial_experimental,1,music,sound,left,specific
trial_experimental,1,gem,red gem,left,specific
trial_experimental,1,French loaf,baguette,left,specific
trial_experimental,1,predator,marine predator,right,specific
trial_experimental,1,product,hairspray,right,specific
trial_experimental,1,dog,Labrador,left,specific
trial_experimental,1,fish,flat fish,left,specific
trial_experimental,1,marsupial,pouched mammal,right,specific
trial_experimental,1,computer,portable computer,right,specific
trial_experimental,1,naval rank,rank,left,specific
trial_experimental,1,person,hermit,right,specific
trial_experimental,1,vegetable,pea,left,specific
trial_experimental,1,cat,black cat,right,specific
trial_experimental,1,watermelon,fruit,right,specific
trial_experimental,1,bagel,bread,left,specific
trial_experimental,1,crocodile,large reptile,right,specific
trial_experimental,1,hedgehog,mammal,left,specific
trial_experimental,1,sculpture,bust,right,specific
trial_experimental,1,female ruler,ruler,left,specific
trial_experimental,1,kebab,meat,left,specific
trial_experimental,1,empress,ruler,right,specific
trial_experimental,1,jacket,garment,left,specific
trial_experimental,1,handle,round handle,right,specific
trial_experimental,1,warm clothing,jumper,left,specific
trial_experimental,1,bird,robin,right,specific
trial_experimental,1,tined utensil,fork,left,specific
trial_experimental,1,vegetable,starchy vegetable,left,specific
trial_experimental,1,loaf,French loaf,right,specific
trial_experimental,1,medical vehicle,ambulance,right,specific
trial_experimental,1,mammal,spiky mammal,left,specific
trial_experimental,1,rain boots,boots,right,specific
trial_experimental,1,waddling bird,bird,right,specific
trial_experimental,1,beret,French hat,right,specific
trial_experimental,1,flu,seasonal illness,right,specific
trial_experimental,1,clogs,shoe,left,specific
trial_experimental,1,yellow fruit,banana,right,specific
trial_experimental,1,school,institution,right,specific
trial_experimental,1,vehicle,transport vehicle,left,specific
trial_experimental,1,plan,cunning plan,right,specific
trial_experimental,1,ringed planet,Saturn,right,specific
trial_experimental,1,vegetable,spherical vegetable,left,specific
trial_experimental,1,odour,unpleasant odour,left,specific
trial_experimental,1,wooden building,cabin,right,specific
trial_experimental,1,bedding,warm bedding,right,specific
trial_experimental,1,flounder,flat fish,right,specific
trial_experimental,1,apple,fruit,left,specific
trial_experimental,1,swan,graceful bird,left,specific
trial_experimental,1,shears,tool,left,specific
trial_experimental,1,red bird,cardinal,left,specific
trial_experimental,1,icicle,stick,left,specific
trial_experimental,1,gem,sapphire,right,specific
trial_experimental,1,fruit,fuzzy fruit,left,specific
trial_experimental,1,wine,sparkling wine,left,specific
trial_experimental,1,mansion,house,left,specific
trial_experimental,1,penguin,bird,right,specific
trial_experimental,1,mammal,tall mammal,left,specific
trial_experimental,1,building,medical building,right,specific
trial_experimental,1,skewered meat,meat,left,specific
trial_experimental,1,submarine,underwater vehicle,left,specific
trial_experimental,1,mammal,pouched mammal,right,specific
trial_experimental,1,protective hat,hat,right,specific
trial_experimental,1,vegetable,aubergine,right,specific
trial_experimental,1,small bird,robin,right,specific
trial_experimental,1,coniferous tree,tree,left,specific
trial_experimental,1,thorny flower,flower,left,specific
trial_experimental,1,purple vegetable,vegetable,right,specific
trial_experimental,1,penguin,waddling bird,left,specific
trial_experimental,1,tree,palm,left,specific
trial_experimental,1,barn,farm building,left,specific
trial_experimental,1,frog,hopping amphibian,right,specific
trial_experimental,1,vehicle,underwater vehicle,right,specific
trial_experimental,1,pug,wrinkly dog,right,specific
trial_experimental,1,rose,flower,left,specific
trial_experimental,1,vegetable,leafy vegetable,right,specific
trial_experimental,1,wellies,rain boots,left,specific
trial_experimental,1,odour,stench,left,specific
trial_experimental,1,hat,French hat,right,specific
trial_experimental,1,knob,round handle,left,specific
trial_experimental,1,fir,tree,left,specific
trial_experimental,1,gooey cheese,cheese,left,specific
trial_experimental,1,hedgehog,spiky mammal,right,specific
trial_experimental,1,warm bedding,blanket,left,specific
trial_experimental,1,metal,iron,right,specific
trial_experimental,1,beauty product,hairspray,left,specific
trial_experimental,1,cat,panther,left,specific
trial_experimental,1,dog,guide dog,right,specific
trial_experimental,1,purple fruit,fruit,right,specific
trial_experimental,1,mansion,large house,left,specific
trial_experimental,1,starchy vegetable,potato,right,specific
trial_experimental,1,admiral,rank,right,specific
trial_experimental,1,bagel,ring-shaped bread,right,specific
trial_experimental,1,German car,car,right,specific
trial_experimental,1,industrial building,factory,right,specific
trial_experimental,1,chef,professional cook,right,specific
trial_experimental,1,bird,small bird,left,specific
trial_experimental,1,light meal,snack,left,specific
trial_experimental,1,instrument,forceps,right,specific
trial_experimental,1,amphibian,frog,left,specific
trial_experimental,1,marine mammal,mammal,left,specific
trial_experimental,1,sparkling wine,champagne,right,specific
trial_experimental,1,aria,operatic solo,right,specific
trial_experimental,1,crisps,potato snacks,left,specific
trial_experimental,1,music,melodic sound,left,specific
trial_experimental,1,diplomat,senior diplomat,left,specific
trial_experimental,1,vegetable,potato,right,specific
trial_experimental,1,ruby,gem,right,specific
trial_experimental,1,whale,mammal,left,specific
trial_experimental,1,metal,magnetic metal,right,specific
trial_experimental,1,tiger,cat,right,specific
trial_experimental,1,bread,ring-shaped bread,left,specific
trial_experimental,1,lorry,vehicle,left,specific
trial_experimental,1,rose,thorny flower,right,specific
trial_experimental,1,black cat,panther,right,specific
trial_experimental,1,dish,sushi,right,specific
trial_experimental,1,cabin,building,left,specific
trial_experimental,1,tiny dog,Chihuahua,right,specific
trial_experimental,1,mammal,nocturnal mammal,right,specific
trial_experimental,1,building,barn,left,specific
trial_experimental,1,wellies,boots,left,specific
trial_experimental,1,vehicle,horse-drawn vehicle,left,specific
trial_experimental,1,purple vegetable,aubergine,right,specific
trial_experimental,1,senior diplomat,ambassador,right,specific
trial_experimental,1,corn,vegetable,left,specific
trial_experimental,1,warm clothing,clothing,left,specific
trial_experimental,1,large bird,bird,right,specific
trial_experimental,1,vehicle,ambulance,left,specific
trial_experimental,1,striped cat,tiger,left,specific
trial_experimental,1,daffodil,flower,left,specific
trial_experimental,1,vehicle,tractor,left,specific
trial_experimental,1,python,large snake,right,specific
trial_experimental,1,pumpkin,vegetable,left,specific
trial_experimental,1,sound,melodic sound,right,specific
trial_experimental,1,large house,house,left,specific
trial_experimental,1,vegetable,lettuce,right,specific
trial_experimental,1,backless seat,seat,right,specific
trial_experimental,1,submarine,vehicle,left,specific
trial_experimental,1,bus,public transport,right,specific
trial_experimental,1,cat,hairless cat,right,specific
trial_experimental,1,building,farm building,right,specific
trial_experimental,1,cutting tool,tool,right,specific
trial_experimental,1,bronze,alloy,left,specific
trial_experimental,1,skewered meat,kebab,right,specific
trial_experimental,1,turkey,poultry,right,specific
trial_experimental,1,horse-drawn vehicle,chariot,right,specific
trial_experimental,1,pasta,food,right,specific
trial_experimental,1,empress,female ruler,right,specific
trial_experimental,1,tank,vehicle,left,specific
trial_experimental,1,magnetic metal,iron,left,specific
trial_experimental,1,boat,yacht,left,specific
trial_experimental,1,banana,fruit,left,specific
trial_experimental,1,Japanese dish,sushi,left,specific
trial_experimental,1,ointment,cream,left,specific
trial_experimental,1,petty crime,shoplifting,right,specific
trial_experimental,1,outer garment,garment,right,specific
trial_experimental,1,teaching institution,institution,right,specific
trial_experimental,1,seasonal illness,illness,left,specific
trial_experimental,1,swan,bird,right,specific
trial_experimental,1,mob,protesting crowd,right,specific
trial_experimental,1,durian,fruit,left,specific
trial_experimental,1,backless seat,stool,left,specific
trial_experimental,1,whiskey,liquor,left,specific
trial_experimental,1,weather,violent weather,left,specific
trial_experimental,1,stench,unpleasant odour,left,specific
trial_experimental,1,collection,anthology,left,specific
trial_experimental,1,mammal,bat,left,specific
end,,end,end,end,specific
