display,randomise_trials,option1,option2,correct_answer,condition_choose
trial_experimental,1,sapphire,blue gem,right,general
trial_experimental,1,vehicle,tractor,left,general
trial_experimental,1,rose,flower,right,general
trial_experimental,1,fir,tree,right,general
trial_experimental,1,submarine,underwater vehicle,right,general
trial_experimental,1,orange vegetable,vegetable,right,general
trial_experimental,1,predator,shark,left,general
trial_experimental,1,hospital,medical building,right,general
trial_experimental,1,building,religious building,left,general
trial_experimental,1,protective hat,hat,right,general
trial_experimental,1,instrument,forceps,left,general
trial_experimental,1,sparkling wine,champagne,left,general
trial_experimental,1,teaching institution,institution,right,general
trial_experimental,1,handle,round handle,left,general
trial_experimental,1,residential building,house,left,general
trial_experimental,1,building,church,left,general
trial_experimental,1,cunning plan,ploy,left,general
trial_experimental,1,crocodile,reptile,right,general
trial_experimental,1,bird,owl,left,general
trial_experimental,1,utensil,fork,left,general
trial_experimental,1,gem,emerald,left,general
trial_experimental,1,snacks,potato snacks,left,general
trial_experimental,1,instrument,grasping instrument,left,general
trial_experimental,1,icicle,frozen stick,right,general
trial_experimental,1,tortoise,reptile,right,general
trial_experimental,1,coniferous tree,tree,right,general
trial_experimental,1,kiwi,fuzzy fruit,right,general
trial_experimental,1,daffodil,flower,right,general
trial_experimental,1,juicy fruit,fruit,right,general
trial_experimental,1,crime,petty crime,left,general
trial_experimental,1,collection,anthology,left,general
trial_experimental,1,starchy vegetable,potato,left,general
trial_experimental,1,marine mammal,mammal,right,general
trial_experimental,1,dog,wrinkly dog,left,general
trial_experimental,1,wine,sparkling wine,left,general
trial_experimental,1,large bird,bird,right,general
trial_experimental,1,school,teaching institution,right,general
trial_experimental,1,fast cat,cat,right,general
trial_experimental,1,calling device,device,right,general
trial_experimental,1,backless seat,seat,right,general
trial_experimental,1,tank,armoured vehicle,right,general
trial_experimental,1,mob,protesting crowd,right,general
end,,end,end,end,general
